Palabra;Lexema;Tristeza;Miedo;Alegria;Ira;Asco
inquietar;;2,27;3,1;1,63;2,03;1,7
inquieto;;1,57;1,67;1,9;1,63;1,27
inscribir;;1,28;1,59;1,66;1,24;1,14
insecto;;1,27;2,37;1,7;1,4;2,93
inseguridad;;3,5;3,83;1,07;2,63;2,2
inseguro;;3;3,2;1,1;1,97;1,27
insensato;;2,53;2,5;1,33;2,63;1,83
insolente;;2,2;1,48;1,16;3,24;2,92
insomnio;;3,23;2,4;1;3,2;1,8
inspeccionar;;1,48;1,9;1,34;1,48;1,28
inspiración;;1,57;1,47;3,87;1,33;1,03
inspirado;;1,47;1,3;3,63;1,33;1,17
inspirar;;1,33;1,4;3,2;1,17;1,2
instancia;;1,13;1,37;1,37;1,2;1,23
instante;;1,3;1,37;2,33;1,13;1
instaurar;;1,45;1,52;1,69;1,34;1,24
institución;;1,77;2,03;1,33;2,2;2,1
instituto;;2,2;1,27;2,93;1,4;1,4
insuficiente;;3,57;2,57;1,03;3;1,57
insultado;;3,6;2,2;1,1;4,17;2,8
insulto;;3,17;2,57;1,07;4;3
intelecto;;1,14;1,34;3,28;1,07;1,07
intelectual;;1,2;1,47;2,8;1,4;1,4
inteligente;;1,07;1,3;3,67;1,03;1,07
intensidad;;1,43;2,17;2,73;1,63;1,4
interés;;1,3;1,33;2,83;1,43;1,33
interferir;;1,77;1,73;1,47;2,63;1,57
interrupción;;1,7;1,67;1,17;2,6;1,57
intimidar;;2,67;3,43;1,1;3,17;2,13
intruso;;1,47;3,6;1,03;2,47;1,5
inundación;;3,67;3,5;1,23;2,5;1,5
inútil;;2,9;1,87;1,27;2,53;2
invasión;;2,77;3,53;1,17;3,43;2,3
invasor;;2,1;3,4;1,03;2,9;1,8
inválido;;3,83;2,43;1,17;1,9;1,43
inventar;;1,13;1,7;3,5;1,43;1,1
invernadero;;1,37;1,47;2,1;1,07;1,13
invertir;;1,57;2,67;2,73;1,5;1,23
investigador;;1,2;1,4;3,1;1,13;1,1
investigadora;;1,2;1,5;2,83;1,13;1,2
invicto;;1,38;1,81;3,35;1,69;1,42
invitación;;1,37;1,5;3,6;1,17;1,07
invitada;;1,4;1,57;3,27;1,17;1,13
inyección;;1,9;3,1;1,1;1,47;2,23
ira;;2,63;2,77;1,1;4,53;2,1
irrespetuoso;;2,4;1,6;1,07;3,5;2,63
irritación;;2,07;2,03;1;3;2,2
irritar;;2,47;1,87;1;3,77;2,3
ídolo;;1,37;1,27;3,43;1,53;1,07
íntegro;;1,2;1,13;3,1;1,17;1,13
íntimo;;1,53;1,73;3,23;1,07;1,23
jabalí;;1,43;3,37;1,47;1,43;1,83
jabón;;1,1;1,07;2,07;1,07;1,23
jaqueca;;2,73;2,6;1,03;2,63;1,9
jardinero;;1,07;1,03;1,77;1,07;1,03
jardín;;1,17;1,03;3,4;1,07;1,03
jarra;;1,23;1,1;1,67;1,07;1,17
jefe;;1,43;2,07;1,47;2,23;1,77
jerarquía;;2,43;2,1;1,47;2,8;2,83
jeringa;;1,53;2,77;1,17;1,37;2,63
jeringuilla;;2,1;3,33;1,3;1,47;2,87
jersey;;1,23;1,03;2,47;1,07;1,2
jirafa;;1,27;2,03;3,37;1,07;1,03
jornalera;;1,39;1,18;1,46;1,43;1,21
joven;;1,17;1,57;3,8;1,23;1,03
jovial;;1,07;1,07;3,93;1,07;1,07
joya;;1,13;1,17;3,2;1,17;1,13
jubilado;;2,03;1,17;2,33;1,1;1,1
jubiloso;;1,29;1,21;3,36;1,21;1,14
juego;;1,27;1,37;3,93;1,3;1,03
juez;;1,1;1,77;1,63;1,43;1,13
jugar;;1,23;1,3;4,43;1,3;1,23
jugo;;1,13;1,07;2,33;1,07;1,77
juguete;;1,33;1,37;3,9;1,13;1
justicia;;2,17;2,17;3,63;2,27;2,13
justo;;1,43;1,57;3,6;1,67;1,2
juventud;;1,57;1,6;3,83;1,5;1,03
júbilo;;1,27;1,33;4,2;1,2;1
ketchup;;1;1,07;2,1;1;1,37
koala;;1,37;1,6;3,37;1,1;1,17
laberinto;;1,8;3,07;1,33;2,23;1,33
laboratorio;;1,37;1,67;1,97;1,3;1,63
labrador;;1,47;1,7;2,67;1,33;1,5
lado;;1,57;1,37;1,37;1,33;1,33
ladrillo;;1,03;1,57;1,1;1,3;1,03
ladrona;;2,87;3,3;1,1;3,57;2,37
ladrón;;2,53;3,87;1,23;3,7;2,6
lagartija;;1,33;2;1,8;1,43;2,6
lagarto;;1;1,6;1,6;1,07;2,2
lago;;1,27;1,6;3,4;1;1,17
lamentar;;4,5;2,57;1,03;2,6;1,53
lamento;;4,1;2,67;1,27;2,03;1,6
lancha;;1,1;1,73;2,83;1,17;1,1
lanza;;1,6;2,4;1,53;2,47;1,2
lanzar;;1,3;1,93;2,2;2,17;1,33
lapidar;;4,1;4,07;1,03;3,9;3,07
lastimar;;4,17;3,38;1,03;3,17;2,28
lata;;1,13;1,3;1,6;1,3;1,5
latido;;1,57;1,97;3,5;1,27;1,17
lavabo;;1,1;1,17;1,67;1,07;2
lágrima;;4,07;2,07;1,97;2,5;1,13
lámpara;;1,1;1,13;2,13;1,03;1,03
lánguido;;2,6;1,56;1,12;1,24;1,56
lápiz;;1,13;1,13;1,93;1,13;1,07
lástima;;4,33;2,2;1,03;2,2;1,93
látigo;;1,83;2,8;1,4;2,63;1,63
leal;;1,2;1,37;3,83;1,2;1,07
lealtad;;1,16;1,84;4,03;1,29;1,13
leche;;1,13;1,13;2,13;1,07;1,47
lechera;;1,41;1,17;2,31;1,21;1,52
lechero;;1,2;1,03;1,97;1,1;1,37
lechuza;;1,3;2;2,37;1,07;1,57
lectura;;2,3;1,8;3,97;1,4;1,47
leer;;1,53;1,57;3,79;1,27;1,2
legalidad;;1,53;1,77;2,43;1,83;1,87
legítimo;;1,3;1,4;2;1,17;1,3
lejos;;3,7;3,17;1,9;2,37;1,6
lentilla;;1,47;1,77;2;1,3;1,77
lento;;2;1,7;1,3;2,2;1,63
leñador;;1,07;1,27;1,57;1,13;1,07
leopardo;;1,27;3,67;2,47;1,3;1,1
león;;1,17;3,13;2,83;1,93;1,03
lepra;;3,31;3,21;1;2,24;3,41
lerdo;;2,34;1,31;1,17;1,93;1,83
lesbiana;;1,1;1,03;1,87;1,13;1,2
lesionar;;3,33;3,7;1,03;3;1,63
lesión;;3,33;2,8;1;2,23;1,5
letra;;1,67;1,53;3;1,33;1,23
leyenda;;1,67;2;2,47;1,3;1,37
liberación;;1,4;1,67;4,27;1,37;1
liberar;;1,43;1,73;4,13;1,37;1,17
libertad;;1,3;1,83;4,63;1,43;1,17
libélula;;1,23;1,8;1,9;1,23;2,17
libre;;1,2;1,73;4,43;1,1;1,03
librería;;1,27;1,2;3,27;1,13;1,07
libreta;;1;1,03;1,73;1,03;1
libro;;1,67;1,53;3,43;1,33;1,23
licenciada;;1,2;1,33;3,73;1;1
licenciado;;1,37;1,57;4,1;1,27;1,03
liebre;;1,1;1,43;2,4;1,17;1,3
liga;;1,2;1,17;1,77;1,4;1,13
ligar;;1,13;1,87;3,83;1,37;1,5
ligue;;1,33;1,73;3,93;1,23;1,47
lija;;1,1;1,17;1;1,27;1,1
lima;;1,38;1,31;2,03;1,41;1,62
limón;;1,13;1,07;2,1;1,03;1,33
limpiador;;1,43;1;1,9;1;1,1
limpio;;1,03;1,03;4,17;1;1,17
lince;;1,77;2,3;2,57;1,17;1,2
linchar;;3,39;3,55;1,19;3,97;3,16
lindo;;1,07;1,03;4,23;1,03;1,13
linea;;1,37;1,43;1,4;1,37;1,27
linterna;;1,1;1,43;1,8;1,13;1,03
lira;;1,71;1,13;2,25;1,08;1,08
liso;;1,17;1,07;1,97;1,13;1,17
lista;;1,53;1,77;2,73;1,87;1,7
listo;;1,2;1,47;3,4;1,27;1,2
litro;;1,2;1,2;1,67;1,17;1,27
liviano;;1,36;1,18;2,21;1,07;1,11
líder;;1,47;1,9;2,23;1,8;1,37
lío;;1,77;2,23;1,8;1,87;1,5
llama;;1,8;2,67;2,23;1,67;1,3
llamada;;1,6;2,03;3,07;1,17;1,03
llamar;;1,47;1,63;3;1,4;1,1
llano;;1,3;1,13;1,6;1,23;1,17
llanto;;4,2;2,7;1,73;2,37;1,4
llave;;1,3;1,5;2,17;1,23;1,03
lloriqueo;;3,57;2,13;1,3;2,53;1,47
llovizna;;2,45;1,38;2,24;1,38;1,17
lluvia;;2,67;1,43;2,1;1,27;1,23
lobo;;1,5;3,83;2,1;1,7;1,43
loca;;2,5;2,83;1,7;2,13;1,57
local;;1,33;1,7;2,13;1,4;1,3
loco;;2,6;2,87;1,5;1,93;1,3
locuaz;;1,2;1,28;3,04;1,32;1,28
locura;;2,77;3,33;1,73;2,27;1,53
lograr;;1;1,6;4,27;1,13;1,03
logro;;1,17;1,97;4,53;1,33;1,07
lombriz;;1,27;1,63;1,17;1,4;3,7
loro;;1,13;1,53;3,3;1,07;1,13
lotería;;1,6;1,37;3,9;1,4;1,3
lóbrego;;2,75;2,63;1,06;1,13;1,44
lucha;;2,33;2,67;1,8;3,37;1,47
luchador;;1,47;1,9;2,27;1,97;1,27
luciérnaga;;1,27;1,57;2,4;1,13;1,67
ludópata;;2,45;2,17;1,41;2,03;1,79
lugar;;1,7;1,6;2,33;1,2;1,3
lujo;;1,27;1,23;3,53;1,43;1,37
lujuria;;1,2;1,5;2,63;1,6;1,5
luminosidad;;1,23;1,23;3,8;1,17;1,03
luminoso;;1,1;1,23;3,43;1,13;1,1
lunar;;1,1;1,28;1,66;1,1;1,31
luna;;2,5;1,67;3,47;1,07;1,03
luz;;1,17;1,2;3,67;1,13;1,07
maceta;;1,1;1,17;2,24;1,07;1,07
machete;;1,73;3,43;1,17;2,23;1,7
machista;;3,17;2,53;1,17;4,07;3,8
madrastra;;2,77;2,33;1,63;2,4;2,03
madre;;1,86;1,52;4,79;1,48;1
madrugón;;3,03;1,4;1,27;2,27;2,73
maduración;;1,87;1,77;2,97;1,23;1,5
maestra;;1,5;1,93;3,13;1,67;1,37
maestro;;1,3;1,47;2,57;1,3;1,13
mafioso;;1,93;3,4;1,17;2,8;2,6
magdalena;;1,23;1,13;2,7;1,03;1,13
magistral;;1,2;1,17;1,93;1,13;1,17
mago;;1,13;1,4;3,33;1,17;1,1
maíz;;1,3;1,23;2,23;1,23;1,5
malabarista;;1,27;1,5;2,93;1,17;1,07
malaria;;4,24;4,1;1;2,79;2,38
maldad;;3,23;3,43;1,13;3,8;3,07
maldición;;2,97;3,8;1;3,23;1,93
maldito;;2,2;3,1;1,03;2,53;1,63
maleducado;;2,37;1,43;1;3,53;2,7
maleficio;;1,97;2,8;1,3;2,13;1,7
malestar;;3,57;2,5;1,07;2,13;2,3
maleta;;2;1,8;3,2;1,23;1,17
maletero;;1,14;1,34;1,31;1,07;1,24
malévolo;;3;3,73;1,1;3,47;2,93
malgastar;;2,9;2,4;1,23;2,9;2,07
malicia;;3,17;3,43;1,03;3,6;2,77
malo;;3,2;3,33;1,07;3,33;2,57
maloliente;;1,87;1,53;1,03;2,67;4,77
maltratador;;4,03;4,2;1;4,57;4,33
maltratar;;3,9;4;1,03;4,52;3,62
maltrato;;4,33;3,87;1;4,53;3,87
malvado;;2,5;3,23;1,03;3,27;2,23
malversar;;2,68;2,48;1,04;4,08;3,12
manantial;;1,3;1,3;3,53;1,03;1,03
manejo;;1,46;1,54;1,93;1,46;1,32
manera;;1,13;1,1;1,4;1,1;1,1
manga;;1,23;1,2;1,73;1,13;1,37
mango;;1,14;1,1;3,21;1,1;1,48
manguera;;1,3;1,3;1,8;1,27;1,33
manicomio;;3,63;3,67;1,2;2,23;2,07
maniquí;;1,27;1,63;1,23;1,23;1,2
maníaco;;2,27;2,8;1,1;2,03;1,27
mano;;1,23;1,4;2,37;1,23;1,27
manosear;;1,6;2,1;1,4;2,2;3,23
manso;;1,55;1,28;1,72;1,14;1,21
manta;;1,67;1,2;3,27;1,2;1,2
mantel;;1,23;1,03;1,6;1,17;1,33
mantequilla;;1;1,07;2,1;1;1,3
manto;;1,5;1,42;1,88;1,27;1,31
manual;;1,4;1,23;1,97;1,37;1,33
manuscrito;;1,3;1,33;1,87;1,2;1,2
manzana;;1,03;1,1;2,8;1,07;1,17
mapache;;1,07;2,33;2,5;1,1;1,63
maquillaje;;1,3;1,5;2,9;1,2;1,47
maquinilla;;1,07;1,37;1,13;1,13;1,13
mar;;1,7;2,17;4,1;1,03;1,1
maravilla;;1,14;1,17;4,24;1,1;1,1
maravilloso;;1,03;1,2;4,43;1,13;1
marca;;1,3;1,2;1,7;1,37;1,5
marcar;;1,4;1,3;2,2;1,47;1,43
marco;;1,4;1,27;1,7;1,23;1,2
mareado;;2,2;2,4;1,03;1,3;2,37
margen;;1,27;1,3;1,17;1,27;1,13
marginación;;4,43;3,4;1,03;3,63;3,1
marido;;1,77;1,97;3,03;1,57;1,3
mariposa;;1,33;1,33;3,23;1,17;1,77
mariquita;;1,27;1,33;3,07;1,23;1,3
marqués;;1,8;1,6;1,57;2,43;2,43
martillo;;1,2;1,7;1,27;1,53;1,07
martirio;;3,63;3,47;1;3,23;2,63
masacre;;4,67;4,4;1;4,23;3,67
masaje;;1,1;1,2;4,03;1,13;1,1
masajista;;1,03;1,4;3,8;1,1;1,33
mascota;;1,7;1,37;3,87;1,07;1,13
mascullar;;1,59;1,44;1;2,07;1,67
masturbación;;1,23;1,3;3,33;1,3;1,7
masturbarse;;1,13;1,17;3,1;1,2;1,43
matanza;;3,7;3,77;1,07;3,8;3,73
matar;;4,2;4,59;1;4,52;3,67
mate;;1,3;1,33;2;1,13;1,37
matemático;;1,3;1,23;1,6;1,17;1,13
materia;;1,37;1,57;1,47;1,37;1,5
material;;1,3;1,3;1,53;1,27;1,3
maternidad;;1,33;2,5;3,93;1,17;1,27
matrimonio;;1,87;2,8;3,47;1,67;1,27
mayordomo;;1,97;1,03;1,7;1,43;1,1
mágico;;1,17;1,83;3,7;1,13;1,07
máquina;;1,17;1,3;1,3;1,13;1,2
mártir;;3,55;1,97;1,1;2,45;1,34
máscara;;2,17;2,3;2,17;1,97;1,73
mecanismo;;1,37;1,53;1,53;1,57;1,33
mecánica;;1,47;1,7;1,43;1,43;1,5
mecánico;;1,23;1,4;1,67;1,2;1,4
mecedora;;1,73;1,17;2,13;1,07;1,07
mechero;;1,37;2,1;1,57;1,47;1,4
mechón;;1;1;1,63;1,1;1,23
medalla;;1,27;1,23;3,77;1,27;1,2
media;;1,53;1,53;1,57;1,4;1,3
medicina;;1,77;1,9;2,27;1,33;1,67
medio;;1,63;1,57;1,37;1,5;1,43
meditación;;1,43;1,23;3,1;1,07;1,07
medusa;;1,47;3,67;1,4;1,8;3,03
mejillón;;1,1;1;1,8;1;1,73
mejorar;;1,2;2,03;4,3;1,17;1,13
melena;;1,17;1,03;3,17;1,13;1,07
melodía;;2,66;1,52;3,9;1,59;1,21
memoria;;2,27;2,1;3,07;1,63;1,23
mendigo;;4,2;2,03;1,1;1,8;1,73
menosprecio;;3,2;2,1;1;3,27;2,63
mensaje;;1,6;1,73;2,8;1,27;1,23
mensajero;;1,53;1,37;2,47;1,27;1,17
menstruación;;2,21;1,24;2,07;2,21;2,83
mente;;1,6;2,23;3,1;1,57;1,27
mentira;;3,6;2,3;1,2;3,73;2,8
mentir;;3,13;2,63;1,1;3,67;3,2
mentiroso;;3,48;2,41;1,24;3,79;2,93
mentón;;1,27;1,2;1,33;1,27;1,27
mercader;;1,03;1,03;1,43;1,17;1,03
mercado;;1,1;1,37;2,67;1,47;1,4
mercenario;;1,62;2,52;1,03;2,31;1,86
merienda;;1,17;1,2;3,4;1,17;1,43
mermelada;;1,03;1,03;2,87;1,07;1,43
mero;;1,19;1,19;1,35;1,12;1,69
mes;;1,13;1,13;1,33;1,1;1,1
mesa;;1,2;1,17;1,83;1,23;1,2
metal;;1,27;1,7;1,37;1,57;1,27
metástasis;;4,14;4,34;1;3,38;2,41
meticuloso;;1,6;1,6;1,43;1,87;1,67
metralleta;;3,37;3,93;1,1;3,27;2,93
metro;;1,57;1,7;1,53;1,73;2,07
mezquita;;1,57;1,8;1,5;1,7;1,7
médico;;2,03;2,77;1,77;1,57;1,57
mérito;;1,17;1,47;4,77;1,1;1,1
método;;1,3;1,37;1,7;1,17;1,27
microscopio;;1;1,17;2,03;1,03;1,13
micrófono;;1,17;1,43;2,1;1;1
miedo;;2,4;4,1;1,07;1,97;1,5
miedoso;;2,47;2,7;1,23;1,83;1,53
miel;;1,03;1,03;2,93;1;1,37
miembro;;1,13;1,1;1,67;1,1;1,23
milagro;;1,27;1,83;3,57;1,23;1,27
militar;;1,77;2,4;1,67;1,77;1,33
millonaria;;1,93;1,7;3;2,4;2,4
millonario;;1,63;1,53;3,5;1,87;1,9
mimado;;2,03;1,33;1,7;1,93;1,83
mimo;;1,43;1,63;3,47;1,17;1,23
mina;;2,41;2,93;1,31;1,97;1,79
minifalda;;1,23;1,27;2,7;1,3;1,37
ministra;;2;1,9;1,37;2,6;2,23
ministro;;2,27;1,63;1;3,27;2,8
miseria;;4,2;3,07;1,07;2,8;1,77
misil;;4,1;4,53;1,13;3,97;3,4
misionero;;1,53;1,17;2,6;1,1;1,07
misterio;;1,77;3,33;2,37;1,67;1,43
mitad;;1,5;1,23;1,7;1,1;1,13
místico;;1,3;2,47;2,43;1,13;1,27
mochila;;1,33;1,1;2,03;1,17;1,1
moco;;1,3;1,2;1,3;1,37;3,93
modesto;;1,27;1,2;2,7;1,1;1,13
modista;;1,43;1,37;2,83;1,33;1,33
modular;;1,25;1,32;1,43;1,36;1,29
mofeta;;1,37;2,3;1,53;1,57;3,43
moho;;1,6;2,07;1,07;1,6;4,13
mojado;;1,72;1,24;1,72;1,66;2,17
molde;;1,17;1,1;1,2;1,07;1,1
molestar;;2,23;1,73;1,23;3,6;2,1
molestia;;2,53;2,27;1,07;2,4;1,5
molino;;1,07;1,17;1,59;1,1;1,07
momento;;1,79;1,9;2,55;1,62;1,52
mona;;1,1;1,33;2,77;1;1,03
monarquía;;1,77;1,27;1,27;2,33;2,5
monasterio;;2,1;2,4;1,5;1,8;1,67
moneda;;1,27;1,37;2,57;1,23;1,43
monedero;;1,23;1,17;2,2;1,07;1,2
monitor;;1,17;1,3;2,33;1,3;1,17
monja;;1,77;1,33;1,43;1,4;1,17
monje;;2,13;1,9;1,5;1,97;1,97
mono;;1,2;1,67;2,7;1,13;1,17
monstruo;;1,7;4,03;1,13;2,23;3,07
monstruoso;;2,07;3,97;1,33;2,27;2,9
montaje;;1,5;1,54;1,61;1,71;1,57
montaña;;1,13;2,03;2,83;1,07;1,1
montón;;1,52;1,59;1,72;1,34;1,52
monumento;;1,4;1,33;2,57;1,17;1,1
moño;;1,07;1;2;1;1,07
moqueta;;1,47;1,17;1,8;1,2;1,9
mora;;1,1;1,03;2,43;1,17;1,3
moral;;1,6;1,53;2,9;1,4;1,27
morboso;;1,47;1,63;2,5;1,83;2,07
morder;;2,07;3;1,57;2,67;2,53
mordisco;;1,57;2,33;1,73;2,6;2,1
morena;;1,33;1,43;2,27;1,23;1,53
morgue;;4,24;3,1;1,1;2,14;3,1
moribundo;;3,83;3,07;1,17;2,17;1,97
morsa;;1,27;1,8;2,6;1,23;1,5
mortal;;3,73;4;1,7;2,4;1,77
mosca;;1,07;1,23;1,07;2,3;2,93
mosquito;;1,37;1,87;1,17;2,6;3,13
motivo;;1,7;1,97;2;1,47;1,13
moto;;1,87;2,23;2,97;1,73;1,33
motor;;1,13;1,33;1,5;1,27;1
motosierra;;1,6;3,43;1,17;2,8;1,53
mover;;1,65;1,84;2;1,42;1,42
movilidad;;1,2;1,37;3,5;1,2;1,03
movimiento;;1,33;1,83;2,83;1,4;1,47
móvil;;1,9;1,73;2,77;1,9;1,63
mucosidad;;1,37;1,1;1;1,3;3,57
mudo;;3,47;1,23;1,13;1,23;1,17
mueca;;1,7;1,73;1,93;1,7;1,97
muelle;;1,27;1,17;1,67;1,07;1,13
muerte;;4,67;4,2;1;2,87;1,83
muerto;;4,53;3,53;1;2,27;2,17
muestra;;1,1;1,2;1,37;1,13;1,33
muestrario;;1,28;1,21;1,93;1,14;1,24
mugre;;1,8;1,7;1,03;1,87;4,43
mujer;;1,43;1,3;3,23;1,3;1,2
muleta;;2,13;1,77;1,2;1,77;1,33
multa;;3,17;2,7;1;4,07;2,27
mundo;;2,47;2,2;3,6;1,97;1,97
munición;;2,63;3,4;1,37;3,3;1,9
municipio;;1,2;1,07;1,67;1,07;1,03
muñeca;;1,3;1,53;2,93;1,2;1,13
muñeco;;1,57;1,72;2,72;1,14;1,17
muñón;;3,2;1,93;1,07;1,53;2,9
murciélago;;1,2;2,77;1,47;1,27;2,97
murmurar;;1,34;1,69;1,28;2,14;1,76
muro;;1,87;2,17;1,17;2,03;1,4
musculoso;;1,1;1,48;1,93;1,17;1,69
museo;;1,37;1,23;3,1;1,13;1,17
mutación;;2,1;2,7;1,27;1,57;1,77
mutilación;;3,83;4,1;1;4,03;4,17
mutilado;;4,1;3,17;1;2,66;3,1
mutilar;;3,83;4,23;1;3,57;3,93
músculo;;1,27;1,43;2,07;1,5;1,77
música;;2,83;1,47;4,83;1,33;1,2
músico;;1,7;1,03;3,93;1,27;1
nacimiento;;1,17;1,67;4,17;1,07;1,23
nacional;;1,6;1,7;1,87;1,53;1,43
nación;;1,67;1,6;2,73;1,37;1,43
nadador;;1,03;1,2;2,37;1,03;1
nadadora;;1,33;1,6;2,97;1,23;1,13
narcótico;;2,57;3,1;1,2;1,9;2,17
nariz;;1,33;1,4;1,5;1,4;1,83
natural;;1,07;1,13;2,93;1,1;1,1
naturaleza;;1,7;2,03;4,13;1,2;1,27
naufragio;;3,67;3,7;1,2;2,3;1,53
navaja;;1,73;3,6;1,2;2,33;1,57
navajero;;1,43;2,71;1,04;1,79;1,25
navegar;;1,33;2,2;3,63;1,03;1,1
navidad;;1,63;1,2;4,23;1,27;1,13
nazi;;3,87;4,17;1;4,27;3,93
náusea;;2,47;2,83;1,03;1,7;4,59
necesitar;;3;2,57;1,6;1,93;1,17
necio;;2,43;1,63;1,27;2,73;2
negativo;;3,2;2,43;1,17;2,23;1,87
negligencia;;2,83;2,72;1,03;3,03;1,97
negociar;;1,57;2,3;2,37;1,8;1,47
negro;;2,3;2,33;1,37;1,67;1,2
nene;;1,03;1,33;3,27;1,13;1,2
nervio;;1,47;2,13;1,27;2;1,73
nervioso;;2,5;3,13;1,7;2,37;1,67
neurótico;;2,67;3,3;1,1;2,37;1,63
nevera;;1,3;1,23;2,17;1,17;1,27
néctar;;1,03;1,03;2,17;1;1
niebla;;2,47;2,53;1,37;1,27;1,17
nieta;;1,67;1,57;3,53;1,23;1,07
nieto;;1,6;1,37;4,23;1,17;1,1
nieve;;1,27;1,6;4,2;1,03;1
niña;;1,43;1,47;3,37;1,3;1,07
niño;;1,13;1,53;4,2;1,23;1,07
nitrógeno;;1,13;1,63;1,33;1,13;1,37
nivel;;1,43;1,7;1,7;1,37;1,27
noche;;2,13;2,47;2,77;1,37;1,27
noción;;1,23;1,3;1,67;1,2;1,03
nombre;;1,17;1,07;1,33;1,1;1,07
notario;;1,53;1,37;1,27;1,43;1,33
noticias;;2,97;2,5;2,4;2,63;1,93
novedad;;1,4;2,2;3,47;1,27;1,23
novedoso;;1,33;2,1;3,4;1,2;1,43
novela;;2,57;1,63;3,13;1,7;1,33
novia;;1,63;2,1;3,9;1,53;1,2
novio;;1,93;2,23;4,13;1,6;1,23
nubes;;1,47;1,3;2,37;1;1,07
nublado;;3,3;1,87;1,23;1,63;1,63
nuclear;;3,17;3,97;1,27;2,93;2,8
nudo;;1,53;1,4;1,23;1,27;1,23
nutria;;1,3;1,53;2,8;1,13;1,47
nutrir;;1,27;1,17;2,9;1,13;1,33
número;;1,4;1,5;1,43;1,33;1,33
oasis;;1,14;1,48;3,86;1,14;1
obedecer;;2,3;2,1;1,33;2,33;2
obesidad;;3,2;2,2;1,1;1,97;2,17
obispo;;2,07;2;1,27;2,5;2,73
objeto;;1,63;1,57;1,67;1,47;1,63
obsceno;;1,7;1,67;1,23;2,03;3,13
obsequio;;1,23;1,4;4,2;1,17;1,2
obsesión;;2,2;2,93;1,17;2,07;1,5
oca;;1,37;2,13;2,27;1,43;1,83
ocaso;;2,18;1,57;2,82;1,07;1,14
océano;;1,3;2,8;3,67;1,1;1,07
odiar;;2,8;2,27;1,03;4,07;2,2
odio;;3,63;3,3;1,03;4,1;3,13
odioso;;2,79;2,24;1;3,86;3
ofender;;3;2,5;1,07;3,37;2,57
ofensa;;2,97;2,24;1,24;3,21;2,17
oficina;;1,93;1,4;1,6;1,33;1,37
olla;;1,14;1,31;1,62;1,1;1,1
oloroso;;1,47;1,5;1,4;1,43;3,4
olvidar;;3,9;3,53;1,9;2;1,4
olvido;;3,87;3,39;1,39;2,58;1,81
ombligo;;1,03;1,17;1,5;1;1,77
oncología;;3,93;3,89;1,75;2,36;1,39
ondulado;;1,07;1,1;1,79;1,03;1,1
opaco;;2;2,3;1,2;1,6;1,13
opción;;1,13;1,5;2,07;1,13;1,13
operación;;3,23;4,23;1,57;2,13;2,43
opinión;;1,37;1,6;2,37;1,53;1,27
opio;;2,03;2,03;1,66;1,76;2,59
oportunidad;;1,23;2,2;4,13;1,07;1
oposición;;1,43;2,07;1,63;1,73;1,5
oprimir;;3,07;3,6;1;3,73;2,5
optimismo;;1,27;1,27;4,33;1,1;1
oración;;1,77;1,3;1,6;1,17;1,07
orangután;;1,3;1,67;2,5;1,2;1,07
orar;;2,27;1,93;2,07;1,5;1,43
ordenado;;1,13;1,13;3,1;1,23;1,13
ordenador;;1,1;1,23;2,47;1,33;1,03
orfanato;;4,27;2,9;1,2;2,07;1,57
orgasmo;;1,2;1,13;4,7;1,13;1,13
orgullo;;2,3;1,8;2,2;2,5;1,8
orgulloso;;1,53;1,33;3,07;1,9;1,27
original;;1,1;1,6;3,63;1,07;1,23
orina;;1,1;1,17;1,1;1,1;3,3
oro;;1,3;1,5;3,2;1,23;1,1
orquesta;;1,47;1,37;3,2;1,2;1,1
orquídea;;1,38;1,03;3,34;1,1;1,1
oruga;;1,45;2,62;1,24;1,69;3,62
oscilar;;1,59;1,55;1,34;1,48;1,24
oscuro;;3,2;3,83;1,13;2,4;1,53
oso;;1,3;3,33;2,6;1,3;1,23
ostra;;1,13;1,33;1,37;1,03;2,63
otear;;1,17;1,44;1,5;1,11;1,17
otitis;;2,6;2,93;1,07;2,03;2,7
otoño;;2,6;1,1;2,2;1,03;1,23
otorgar;;1,45;1,52;2,9;1,31;1,21
ovacionar;;1,1;1,21;4,38;1,1;1,07
oveja;;1,07;1,17;2,27;1,03;1,13
oxidado;;1,6;1,47;1,1;1,4;2,3
órgano;;1,57;2,1;1,63;1,33;2,57
paciente;;1,93;1,8;2,07;1,37;1,33
pacto;;1,67;2,2;2,3;1,8;1,47
padecer;;4,13;3,83;1,07;2,72;1,83
padre;;1,57;1,27;3,57;1,4;1,1
paella;;1,07;1;3,41;1;1,28
paisaje;;1,87;1,61;3,9;1,23;1,35
pala;;1,27;1,23;1,4;1,1;1,2
palacio;;1,23;1,1;3,03;1,2;1,17
palma;;1,47;1,57;1,8;1,67;1,33
palo;;1,13;1,4;1,47;1,5;1,23
paloma;;1,2;1,73;2;1,53;2,43
pamela;;1,03;1,03;2,1;1;1,03
panadera;;1,47;1,3;2,5;1,27;1,33
panadero;;1,2;1,07;2,7;1,1;1,07
pancarta;;1,5;1,33;1,73;1,6;1,2
pantano;;1,33;1,93;1,47;1,03;1,67
pantera;;1,17;3,67;2,43;1,23;1,17
pañuelo;;1,5;1,07;1,77;1,03;1,77
papa;;1,83;1,33;2,8;2;1,87
papagayo;;1,3;1,43;2,93;1,07;1,1
