Palabra;Lexema;Tristeza;Miedo;Alegria;Ira;Asco
cachondeo;cachonde;1,37;1,3;3,87;1,37;1,47
cachorro;cachorr;1,37;1,2;4,27;1,07;1,1
cacique;caciqu;2,33;1,61;1,94;2,78;2,65
cactus;cactus;1,35;2,1;1,3;1,5;1,4
cada;cad;1,11;1,4;1,21;1,22;1,05
cadáver;cadav;3,53;3,27;1,07;1,67;3,47
cadena;caden;2,87;3,1;1,23;2,57;1,9
cadencia;cadenci;2,12;1,47;1,53;2;1,53
cadera;cader;1,35;1,95;1,2;1,2;1,1
cadete;cadet;1,21;1,3;1,4;1,2;1,5
cadmio;cadmi;1,16;1,67;1,08;1,06;1,08
caducado;caduc;2,33;2,23;1,1;1,8;3,93
caducidad;caduc;2,1;1,3;1,79;2,55;2,6
caer;caer;2,5;3,67;1,27;2,23;1,37
café;caf;1,25;3,15;1,3;1,35;1,65
cafeína;cafein;1,25;2,3;1,4;1,7;1,2
cafetera;cafeter;1,15;2,7;1,25;1,05;1,15
cafetería;cafet;1;2,75;1;1,1;1,1
caída;caid;3,03;3;1,17;2,5;1,23
caídos;caid;2,6;1,35;2,2;1,9;2,05
caimán;caiman;1,43;3,67;1,33;1,7;2
caja;caj;1,3;1,7;1,93;1,2;1,27
cajera;cajer;1,2;1,55;1,15;1,1;1,05
cajero;cajer;1,4;1,9;1,5;1,6;1,25
cajita;cajit;1,15;2,05;1;1,1;1,05
cajón;cajon;1,2;2;1;1,25;1,1
cajonera;cajoner;1,15;1,9;1,05;1;1,11
cajonero;cajoner;1,1;1,53;1;1,15;1,5
cajones;cajon;1,45;1,85;1,1;1,1;1,15
cal;cal;1,5;1,3;1,5;1,8;2,06
cala;cal;1,25;3,2;1,4;1,11;1
calabacín;calabacin;1;2,25;1;1;1,35
calabaza;calabaz;1,45;1,95;1,1;1,35;1,5
calabozo;calaboz;3,15;1,05;3,55;2,25;2,8
calado;cal;1,6;1,68;1,35;1,6;1,42
calamar;calam;1,15;2,5;1,3;1,45;1,65
calamidad;calam;3,22;1,37;3,17;2,47;2,78
calavera;calaver;2,27;3,33;1,13;1,43;2,6
calcetín;calcetin;1,2;1,1;1,9;1,13;1,9
calcio;calci;1,1;2,2;1,2;1,2;1,1
calculadora;calcul;1,2;1,3;1,7;1,2;1,33
calcular;calcul;1,5;1,63;1,3;1,5;1,25
cálculo;calcul;1,6;1,97;1,47;1,8;1,7
caldera;calder;1,2;1,5;1,8;1,1;1,2
caldero;calder;1,15;1,9;1,05;1,17;1,5
caldo;cald;1,05;2,5;1;1;1,1
calefacción;calefaccion;1,2;1,13;3,03;1,07;1
calefactor;calefactor;1,15;3;1,3;1,15;1,1
calendario;calendari;1,8;2,25;1,1;1,25;1,45
calentamiento;calent;1,8;1,5;2,2;2,3;1,85
calentar;calent;1,23;1,6;2,33;1,57;1,1
calibrar;calibr;1,26;2,15;1,3;1,6;1,21
calibre;calibr;1,55;1,75;2,16;1,63;1,3
calidad;calid;1,17;1,07;3,83;1,07;1,03
caliente;calient;1,35;3,2;1,75;1,85;1,2
califa;calif;1,58;1,41;1,65;1,81;1,76
califato;califat;1,5;1,44;1,83;2,39;2,37
calificación;calif;1,85;2,65;1,95;1,95;1,8
calificar;calific;1,7;1,95;2;1,9;1,8
calificativo;calific;1,7;2,1;1,7;1,6;1,7
californiana;californian;1,2;2,85;1,1;1;1
caligrafía;caligraf;1;2,4;1;1,45;1,35
calimocho;calimoch;1,21;3,25;1,11;1,58;2,1
cáliz;caliz;1;1,9;1,05;1,53;1,2
caliza;caliz;1,06;1,44;1,07;1,38;1,07
calla;call;1,7;1,3;1,7;2,53;1,75
callado;call;2,7;2,03;1,53;1,6;1,2
callar;call;2,15;1,75;2,05;2,45;1,55
calle;call;1,13;1,97;2,2;1,07;1,37
calleja;callej;1,27;2;1,44;1,2;1,46
callejera;callejer;2,25;1,65;2,85;1,7;2
callejón;callejon;1,97;3,07;1,2;1,3;1,87
calma;calm;1,4;1,3;3,9;1;1
calmado;calm;1,57;1,17;2,93;1,17;1
calmante;calmant;1,9;1,77;2,42;1,42;1,35
calmar;calm;1,33;1,2;2,27;1,3;1,03
calmo;calm;1,18;1,77;1,15;1,13;1,19
calor;calor;1,27;1,23;3,57;1,6;1,47
calumnia;calumni;3,11;1,06;1,94;3;3,06
calumniar;calumni;3,33;1,18;2,88;3,33;3,05
calva;calv;2,25;1,32;2,3;1,6;2,2
calvario;calvari;3,4;3,27;1,47;2,7;2,1
calvo;calv;1,7;1,3;1,55;1,2;1,3
calzada;calz;1,1;1,8;1,2;1,3;1,55
calzado;calz;1,05;2,5;1,2;1,2;1,6
calzador;calzador;1,2;1,55;1,1;1,4;1,55
calzas;calz;1,16;2,21;1;1;1,61
calzón;calzon;1,15;1,8;1,05;1,45;1,95
calzoncillos;calzoncill;1,27;1,1;1,5;1,07;2,2
cama;cam;1,4;1,27;4,57;1,07;1,13
camaleón;camaleon;1,13;1,2;2,73;1;1,2
cámara;cam;1,2;3,25;1,45;1,15;1,05
camarada;camar;1,28;2,1;1,15;1,15;1,3
camarera;camarer;1,37;1,33;2,17;1,2;1,17
camarero;camarer;1,27;1,2;2,4;1,33;1,17
camarote;camarot;1,25;2,53;1,55;1,2;1,25
cambiante;cambiant;2,15;2,05;1,75;1,65;1,25
cambiar;cambi;1,84;2,8;1,85;1,5;1,25
cambio;cambi;2,13;2,9;2,7;1,57;1,4
camboyano;camboyan;1,31;1,4;1,07;1,19;1,06
camelia;cameli;1,14;2,31;1;1,22;1
camello;camell;1,03;1,4;2,33;1;1,3
camilla;camill;3,05;1,21;2,1;1,9;1,85
caminar;camin;1,05;3,65;1,1;1,4;1,1
caminata;caminat;1,7;3,15;1,6;1,3;1,25
camino;camin;1,3;2,7;1,7;1,25;1,1
camión;camion;1,33;1,93;1,4;1,3;1,33
camionero;camioner;1,27;1,23;1,3;1,13;1,33
camioneta;camionet;1,2;1,85;1,6;1,3;1,45
camisa;camis;1,17;1,03;2,2;1,07;1,03
camiseta;camiset;1,03;1;1,83;1;1
camisola;camisol;1;2,33;1,11;1;1,05
camisón;camison;1,5;1,5;1,87;1,07;1,3
campa;camp;1;1,36;1,07;1,23;1,47
campamento;campament;1,47;1,47;3,63;1,2;1,27
campana;campan;1,25;1,95;1,25;1,3;1,15
campanario;campanari;1,55;2,05;1,6;1,1;1,6
campanilla;campanill;1,1;2,6;1,15;1,25;1,35
campaña;campañ;1,2;1,3;1,6;1,27;1,23
campeón;campeon;1,27;1,17;4,57;1,07;1,07
campeona;campeon;1,03;1,03;4;1;1,03
campeonato;campeonat;1,27;1,9;3,3;1,33;1
campera;camper;1,05;1,63;1,11;1,16;1,16
campesinado;campesin;1,68;2,05;1,15;1,56;1,4
campesino;campesin;1,63;1,37;2,4;1,2;1,23
campestre;campestr;1,3;2,2;1,15;1,15;1,4
camping;camping;1,35;2;3,68;1,16;1,87
campiña;campiñ;1,33;1,69;1,13;1,33;1,25
campo;camp;1,2;1,5;3,73;1,03;1,4
camposanto;camposant;2,75;1,56;1,84;1,67;1,94
camuflaje;camuflaj;1,6;1,95;1,6;1,45;1,35
canadiense;canadiens;1,2;2,15;1,05;1,45;1,05
canal;canal;1,37;1,57;1,77;1,23;1,53
canalización;canaliz;1,35;1,55;1,25;1,2;1,2
canalizar;canaliz;1,15;2,2;1,42;1,4;1,15
canalla;canall;2,25;1,1;2,05;3,2;3,1
canalón;canalon;1,5;1,95;1,16;1,22;1,72
canapé;canap;1,05;2,8;1;1,1;1,5
canario;canari;1,1;1,1;2,93;1,07;1,03
canasta;canast;1,45;3,2;1,15;1,2;1,05
canasto;canast;1;1,56;1;1,05;1,15
cancán;cancan;1;2,85;1;1,17;1,11
cancela;cancel;2,3;1;1,7;2,26;1,68
cancelación;cancel;2,5;1,15;2,05;2,75;2,05
cancelar;cancel;2,45;1,35;1,8;2,8;1,85
cáncer;canc;4,63;4,8;1,03;3,67;2,3
cancha;canch;1,25;2,2;1,25;1,15;1
canciller;cancill;1,82;1,72;2,2;2,58;2,5
cancillería;cancill;1,57;1,16;1,72;1,89;2,81
canción;cancion;2,5;1,27;4,23;1,47;1,23
cancionero;cancioner;1,11;2,37;1,05;1;1
candado;cand;2,03;2,4;1,47;1,9;1,27
candente;candent;1,25;1,31;1,88;1,57;1,73
cándida;cand;1,47;1,65;1,63;1,26;1,27
candidata;candidat;1,5;1,93;2,6;1,27;1,2
candidato;candidat;1,37;2;2,2;1,4;1,47
candidatura;candidatur;1,65;1,85;1,45;1,55;1,7
candidez;candidez;1,32;1,75;1,17;1,44;1,13
candor;candor;1,09;1,63;1,33;1;1,46
canela;canel;1,2;2,45;1,05;1,15;1,5
cangrejo;cangrej;1,3;1,97;2,37;1,27;1,7
canguro;cangur;1,13;1,97;3,23;1,1;1,17
canibalismo;canibal;3,35;1,16;4,25;3,2;4,4
canica;canic;1,05;2,53;1,15;1;1,15
canoa;cano;1,2;2,5;1,5;1;1,05
canon;canon;1,6;2,42;1,21;2,32;1,74
canónico;canon;1,82;1,28;1,33;1,47;1,94
canónigo;canonig;1,68;2,12;1;1,41;1,73
canonización;canoniz;1,94;1,83;1,44;2,18;2,21
cansa;cans;1,89;1,7;1,21;1,68;1,84
cansado;cans;2,67;1,23;1,13;1,47;1,3
cansancio;cansanci;2,67;1,53;1,33;1,9;1,67
cansar;cans;2,2;1,6;1,95;2,5;1,4
cantábrica;cantabr;1;2,45;1,11;1,05;1,2
cántabro;cantabr;1,21;2,28;1,05;1;1
cantante;cantant;1,4;1,13;3,43;1,1;1,17
cantaor;cantaor;1,11;2,79;1,06;1,25;1,16
cantar;cant;1,77;1,47;3,9;1,27;1,17
cántaro;cantar;1,05;1,63;1,11;1,35;1,11
cantautor;cantautor;1,2;2,5;1,2;1,2;1,3
cantautora;cantautor;1,25;2,75;1;1,2;1,05
cante;cant;1,25;3;1,2;1,25;1,1
cantera;canter;1,2;1,68;1,33;1,3;1,74
cántico;cantic;1,35;3,06;1,05;1,2;1,11
cantidad;cantid;1,3;1,6;2,63;1,3;1,37
cantimplora;cantimplor;1,23;1,23;2,47;1,23;1,47
cantina;cantin;1,21;3,05;1,25;1,21;1,35
cantón;canton;1,07;1,69;1,13;1,21;1,14
cantor;cantor;1,11;3,28;1,06;1,26;1
caña;cañ;1,17;1,2;2,03;1,2;1,3
cañada;cañ;1,17;1,89;1,38;1,3;1,12
cáñamo;cañam;1,21;1,89;1,15;1,11;1
caño;cañ;1;1,22;1,29;1,39;1,47
cañón;cañon;2,53;3,3;1,27;3,17;1,7
caoba;caob;1,15;1,63;1,1;1,21;1
caos;caos;2,67;3,27;1,5;3,17;1,93
caótica;caotic;2,4;2,2;2,35;2,9;2,1
capa;cap;1,2;1,6;1,47;1,17;1,23
capacidad;capac;1,13;1,13;2,9;1,2;1,07
capacitación;capacit;1,6;3;1,4;1,5;1,6
caparazón;caparazon;1,65;1,68;1,45;1,2;1,3
capataz;capataz;1,42;1,5;1,47;1,89;1,63
capaz;capaz;1,1;1,37;3,97;1,2;1,07
capellán;capellan;1,47;1,26;1,24;2,06;1,76
capilla;capill;1,67;1,6;1,33;1,6;1,5
cápita;capit;1,21;1,58;1,46;1,44;1,64
capital;capital;1,33;1,77;2,53;1,3;1,27
capitalidad;capital;1,75;1,85;1,55;2,2;2
capitalino;capitalin;1,61;1,53;1,57;1,33;1,75
capitalismo;capital;2,45;1,3;2,45;3,2;2,42
capitalista;capital;2,45;1,3;2,35;3,2;2,21
capitalización;capitaliz;2,9;1,25;1,79;2,5;2,05
capitán;capitan;1,23;1,3;2,1;1,2;1,03
capitana;capitan;1,2;2,7;1,55;1,55;1,25
capitel;capitel;1,12;1,5;1,42;1,09;1,36
capitulación;capitul;1,45;1,75;1,21;1,72;1,53
capitular;capitul;1,3;1,84;1,25;1,32;1,05
capítulo;capitul;1,25;3;1,25;1,15;1,1
capoeira;capoeir;1;2,21;1,21;1,42;1,26
capón;capon;2,06;1,11;1,74;2,1;1,93
capote;capot;1,56;1,6;1,19;1,95;1,58
capricho;caprich;1,27;1,1;3,17;1,6;1,33
caprichoso;caprich;2,07;1,31;1,38;2,47;2,13
caprino;caprin;1,18;1,75;1,08;1,36;1,5
cápsula;capsul;1,45;1,5;1,3;1,15;1,45
captación;captacion;1,6;1,9;2,2;1,75;1,65
captar;capt;1,2;2,1;1,6;1,3;1,2
captura;captur;2,55;1,5;2,05;2,1;1,8
capturar;captur;1,9;2,5;2,25;2,05;1,8
capucha;capuch;1,45;1,9;1,4;1,05;1,3
capullo;capull;2,2;1,8;1,95;2,9;3,1
caqui;caqui;1,15;2,15;1;1,17;1,55
cara;car;1,83;1,87;3,03;1,83;1,77
carabela;carabel;1,33;1,95;1,76;1,19;1,47
carabina;carabin;1,5;1,81;1,5;1,59;1,55
caracol;caracol;1,17;1,2;1,83;1,2;2,6
carácter;caract;1,2;2,55;1,55;2,45;1,37
característica;caracterist;1;2,1;1,05;1,35;1,2
característico;caracterist;1,1;1,9;1,1;1,1;1,05
caracterización;caracteriz;1,25;2,2;1,3;1,4;1,3
caracterizar;caracteriz;1;2,4;1,11;1,25;1,25
carajo;caraj;1,4;1,53;1,12;2,4;1,8
caramba;caramb;1,26;2,25;1,26;1,15;1,21
caramelo;caramel;1,07;1,07;3,5;1,03;1,2
carátula;caratul;1,05;2,35;1,05;1,15;1
caravana;caravan;1,25;2,35;1,45;1,65;1,55
carbón;carbon;1,5;1,5;1,5;1,65;1,55
carbonato;carbonat;1,2;1,55;1,7;1,58;1,7
carbono;carbon;1,25;1,7;1,65;1,37;1,5
carburante;carbur;1,25;1,5;1,45;1;1,9
carcajada;carcaj;1;1,07;4,87;1;1
carcasa;carcas;1;1,3;1,1;1,15;1,2
cárcel;carcel;3,47;3,47;1,13;2,6;2,1
carcelero;carceler;2,57;2,93;1,13;2,2;1,9
cardenal;cardenal;1,9;1,63;1,17;2,23;2,27
cardiaco;cardiac;2,1;1,45;2,5;1,9;1,35
cardíaco;cardiac;2,25;1,5;2,75;1,85;1,65
cardiovascular;cardiovascul;1,6;1,4;2,25;1,4;1,7
cardiovasculares;cardiovascular;1,45;1,5;2,15;1,35;1,65
cardo;card;1,95;1,39;1,68;1,72;2,65
carecer;carec;2,65;1,25;2,45;2;1,6
carencia;carenci;3,2;1,1;2,85;2,05;1,95
carente;carent;2,2;1,2;1,95;2,1;1,56
carga;carg;2,67;2,17;1,07;2,07;1,73
cargador;cargador;1,1;2,8;1,5;1,3;1,1
cargamento;cargament;1,55;1,4;1,75;1,5;1,55
cargar;carg;1,8;1,85;1,3;1,45;1,6
cargo;carg;1,4;1,9;2,05;1,89;1,79
carguero;carguer;1,53;1,33;1,45;1,38;1,8
caribe;carib;1,1;4;1,11;1,05;1
caribeña;caribeñ;1,1;3,25;1,05;1,05;1
caribeño;caribeñ;1;3,8;1,1;1,1;1,2
caricatura;caricatur;1,4;3,1;1,25;1,5;1
caricia;carici;1,4;1,23;4,53;1,2;1,1
caridad;carid;2,23;1,27;3,33;1,37;1,2
caries;cari;2,75;1,2;2,5;2,7;3,26
cariño;cariñ;1,5;1,9;4,13;1,33;1,17
cariñoso;cariñ;1,1;1,07;4,57;1,03;1,07
carioca;carioc;1,06;2,56;1;1,16;1,29
carisma;carism;1,1;3,21;1,2;1,15;1,3
carismático;carismat;1,17;1,28;3,62;1,34;1,31
carlista;carlist;1,8;1,24;1,44;1,9;2,17
carmín;carmin;1,27;1,1;2,47;1,1;1,27
carnal;carnal;1,35;3,05;1,35;1,5;1,85
carnaval;carnaval;1;4,35;1,1;1,35;1,35
carne;carn;1,2;2,85;1,35;1,45;1,6
carné;carn;1,3;2,85;1,32;1;1,28
carnero;carner;1,55;1,65;1,8;1,37;1,8
carnet;carnet;1,05;3;1,15;1,2;1,05
carnicería;carnic;2,27;1,8;1,3;1,93;2,97
carnicero;carnicer;1,1;1,33;1,4;1;1,4
carpa;carp;1,2;2,05;1,05;1,35;1,6
carpeta;carpet;1,07;1,07;1,23;1,07;1,07
carpintería;carpint;1;2,2;1,05;1,15;1,05
carpintero;carpinter;1,23;1,07;1,83;1,07;1
carrera;carrer;1,3;2,3;1,75;1,75;1,05
carreras;carrer;1,25;2,55;1,15;1,65;1,05
carreta;carret;1,05;2,2;1,16;1,05;1,11
carretera;carreter;1,3;1,87;2;1,2;1,13
carretero;carreter;1,11;1,5;1,05;1,26;1,4
carretilla;carretill;1,25;1,6;1,15;1,35;1,25
carretillo;carretill;1,05;1,45;1,2;1;1,2
carricoche;carricoch;1,05;2,45;1,14;1,26;1,21
carril;carril;1,05;1,3;1,6;1,25;1,2
carrito;carrit;1,2;2;1,05;1,2;1,25
carro;carr;1,27;1,23;1,33;1,17;1,2
carrocería;carroc;1,1;2;1,25;1,5;1,2
carromato;carromat;1,05;1,61;1,21;1,35;1,12
carroña;carroñ;1,41;1,45;1,17;1,45;3,48
carroza;carroz;1,35;2,75;1,35;1,2;1,3
carruaje;carruaj;1,15;2,15;1,05;1,15;1,25
carta;cart;1,97;1,67;2,57;1,37;1,1
cartel;cartel;1,13;1,2;1,63;1,17;1,27
cartera;carter;1,43;1,5;2,23;1,23;1,2
carterista;carter;2,63;3,17;1,1;3,3;2,63
cartero;carter;1,05;2,2;1;1,2;1,05
cartesiano;cartesian;1,5;1,38;1,21;1,33;1,46
cartílagos;cartilag;1,25;1,4;1,4;1,3;2,75
cartilla;cartill;1,5;2,15;1,5;1,35;1,15
cartografía;cartograf;1,16;1,7;1,11;1,33;1,24
cartón;carton;1,4;1,45;1,2;1,1;1,35
cartucho;cartuch;1,25;1,85;1,9;1,7;1,5
casa;cas;1,33;1,23;3,77;1,23;1,17
casaca;casac;1,44;1,5;1,5;1,31;1,19
casación;casacion;1,47;2,27;1,5;1,15;1,45
casamiento;casamient;1,45;2,6;1,9;1,85;1,65
casar;cas;1,65;3,5;1,5;1,3;1,55
cascada;casc;1,07;1,53;3,27;1,03;1,03
cáscara;casc;1,15;1,5;1,1;1,2;1,85
casco;casc;1,17;1,8;1,8;1,27;1,07
casera;caser;1,1;2,65;1;1,3;1,15
caserío;caseri;1,21;2,75;1,05;1;1,4
caserón;caseron;1,35;2,35;1,6;1,4;1,39
caseta;caset;1,17;1,23;1,9;1;1,03
casete;caset;1,3;2,6;1,05;1,15;1
casi;casi;1,95;1,8;1,7;2,35;1,5
casilla;casill;1,3;1,55;1,2;1,35;1,25
casino;casin;1,63;1,87;2,63;1,67;1,3
casita;casit;1,1;1,17;2,9;1,1;1,1
caso;cas;1,55;2,15;1,35;1,25;1,25
casona;cason;1,33;2,8;1,2;1,13;1,16
cassette;cassett;1,75;3,05;1,05;1,25;1
casta;cast;1,41;1,26;1,45;2,8;2,25
castaño;castañ;1,1;2,2;1,1;1,15;1,2
castañuelas;castañuel;1;2,9;1;1,35;1,15
castellana;castellan;1,25;2,4;1;1,05;1,21
castellano;castellan;1;3;1;1,1;1,05
castidad;castid;2,63;2,23;1,27;1,87;1,93
castigar;castig;3,27;3,33;1,07;3,47;2,3
castigo;castig;3,83;3,83;1,03;3,87;2,47
castilla;castill;1,05;2;1,05;1,18;1,15
castillo;castill;1,2;1,57;2,47;1,27;1
casto;cast;2,1;1,37;1,88;1,69;1,84
castración;castracion;3,35;1,21;3,65;2,7;3,15
castrense;castrens;1,5;1,71;1,77;1,93;1,42
casual;casual;1,1;2,8;1,05;1,05;1
casualidad;casual;1,4;2,03;3,5;1,27;1,23
cata;cat;1,25;2,45;1,05;1,15;1,26
cataclismo;catacl;3,4;1,11;3,61;2,76;1,88
catacumbas;catacumb;2,3;1,63;2,56;1,74;2,5
catalán;catalan;1,45;2,4;1,05;1,4;1,25
catalana;catalan;1,25;2,45;1,15;1,25;1,25
catalizador;cataliz;1,47;1,68;1,47;1,67;1,35
catalogación;catalog;1,5;1,9;1,37;1,9;1,3
catalogar;catalog;1,75;1,8;1,6;1,8;1,6
catálogo;catalog;1,17;1,07;2,03;1,13;1,1
catamarán;catam;1,06;2;1,81;1,24;1,19
catana;catan;2,1;1,3;2,84;2,26;1,76
catapulta;catapult;2,15;1,45;2,65;2,25;1,6
catarata;catarat;1,37;3;1,65;1,65;1,75
catarro;catarr;2,45;1,05;1,9;2,6;2,53
catástrofe;catastrof;4,73;4,6;1;3,07;1,9
catastrófica;catastrof;4,1;1,2;4,2;3,15;2,45
catecismo;catec;1,61;1,76;1,67;2,05;2,88
cátedra;catedr;1,05;2,6;1,1;1,6;1,53
catedral;catedral;1,1;2,1;1,45;1,25;1,65
catedrático;catedrat;1,1;2,35;1,42;1,42;1,25
categoría;categor;1,15;1,5;1,25;1,2;1,3
categórico;categor;1,3;1,42;1,63;1,5;1,58
catequista;catequ;1,95;1,26;1,5;2,4;2,45
cateto;catet;1,7;1,13;1,27;1,63;1,37
católica;catol;1,7;1,5;1,8;1,85;2,55
catolicismo;catolic;2,6;1,7;2,05;1,45;2,8
católico;catol;1,8;1,75;1,55;1,55;1,95
catre;catr;1,38;1,88;1,07;1,2;1,71
cauce;cauc;1,21;1,89;1,45;1,37;1,06
caucho;cauch;1,15;1,26;1;1,15;1,25
caudal;caudal;1,52;1,7;1,89;1,15;1,19
caudaloso;caudal;1,1;2,32;1,85;1,2;1,1
caudillo;caudill;2,58;1,22;2,5;3,42;3,3
causa;caus;1,7;2,1;1,45;1,6;1,15
causal;causal;1,25;1,9;1,35;1,45;1,25
causalidad;causal;1,2;2,79;1,35;1,16;1,4
causante;causant;2,35;1,45;1,95;2,7;1,45
causar;caus;1,55;1,75;1,35;1,95;1,2
cautela;cautel;1,35;2,25;1,8;1,2;1,15
cautelar;cautel;1,55;1,17;1,8;1,33;1,55
cauteloso;cautel;1,3;2,05;1,3;1,25;1,45
cautivar;cautiv;1,6;2,95;1,79;1,65;1,3
cautiverio;cautiveri;3,8;1,16;3,17;2,4;3,11
cautividad;cautiv;3,8;1,45;2,3;2,75;2,85
cautivo;cautiv;2,65;1,21;2,85;2,5;2,3
cauto;caut;1,28;1,86;1,72;1,1;1,07
cava;cav;1,1;2,45;1,05;1,25;1,6
cavar;cav;1,4;1,35;1,55;1,4;1,55
caverna;cavern;1,3;2,2;2,25;1,15;1,8
cavidad;cavid;1,11;1,65;1,74;1,11;1,85
cayena;cayen;1,08;1,56;1,2;1,43;1,75
caza;caz;3,45;1,25;2,45;3,5;3,2
cazador;cazador;2,83;2,57;1,23;3,2;2,53
cazadora;cazador;1,93;1,8;1,87;2,23;2,1
cazar;caz;3,5;2,47;1,23;2,9;3,1
cazo;caz;1,16;1,4;1,25;1,1;1,5
cazón;cazon;1,19;1,33;1,07;1,41;1,4
cazuela;cazuel;1,05;1,95;1;1,05;1,3
cebada;ceb;1,15;1,89;1,2;1,4;2,05
cebo;ceb;1,95;1,65;1,53;1,8;2,25
cebolla;ceboll;1,33;1,07;1,63;1,27;1,73
cebolleta;cebollet;1,25;1,5;1;1,65;2,1
cebra;cebr;1,13;1,47;2,97;1,03;1,1
ceda;ced;1,37;1,63;1,45;1,31;1,33
ceder;ced;1,68;2;1,85;1,95;1,85
cedro;cedr;1,22;1,5;1,21;1,27;1,19
cédula;cedul;1,44;1,38;1,46;1,1;1,64
cefalea;cefale;2,74;2,41;1,04;2,52;1,85
ceguera;ceguer;4,13;4,17;1;2,53;1,38
cejas;cej;1,35;1,9;1,05;1,2;1,25
celador;celador;2;2,1;1,25;1,6;1,6
celadora;celador;2,05;1,95;1,4;1,6;1,55
celda;celd;3,84;4;1,23;3,32;3,19
celebración;celebr;1,33;1,43;4,73;1,17;1,13
celebrar;celebr;1,4;1,4;4,47;1,1;1,1
célebre;celebr;1,2;3;1,4;1,3;1,15
celebridad;celebr;1,7;3,45;1,05;1,5;1,75
celeridad;celer;1,5;1,81;1,69;1,38;1,65
celeste;celest;1,1;3,4;1;1;1
celibato;celibat;2,19;1,29;1,77;2,06;2,53
celo;cel;1,87;1,8;1,4;1,9;1,9
celos;cel;3,13;3,2;1,27;3,3;2,07
celoso;celos;2,7;1,25;2,45;3,65;3,3
célula;celul;1,07;1,1;1,5;1,07;1,1
celular;celul;1,4;2,65;1,3;1,3;1,3
celulitis;celulitis;2,2;1,97;1,03;1,97;3,1
celuloide;celuloid;1,26;1,42;1,33;1,25;1,8
celulosa;celul;1,2;1,9;1,3;1,35;1,55
cementerio;cementeri;4,23;3,07;1,13;1,63;1,33
cemento;cement;1,5;1,3;1,2;1,47;1,43
cena;cen;1,3;1,33;3,43;1,17;1,17
cenar;cen;1,15;3,85;1,05;1,05;1,15
cencerro;cencerr;1,2;2,32;1,3;1,42;1,26
cenicero;cenicer;1,87;1,57;1,3;1,6;3,3
ceniza;ceniz;2,57;1,8;1,27;1,73;2,1
censo;cens;1,32;1,74;1,35;1,29;1,37
censura;censur;3,15;1,15;2,45;3,25;3,55
censurar;censur;2,6;1,35;2,05;3,15;3
centavo;centav;1,2;2,11;1,05;1,35;1,3
centenar;centen;1,47;2,3;1,15;1,05;1,35
centenares;centenar;1,2;1,89;1,35;1,1;1,1
centenario;centenari;1,4;2,11;1,4;1;1
centenas;centen;1,05;1,55;1,5;1,25;1,15
centeno;centen;1,17;1,83;1,16;1,05;1,45
centésima;centesim;1,3;1,55;1,3;1,6;1,25
centímetro;centimetr;1;1;1;1;1
céntimos;cent;1,7;2;1,1;1,25;1,6
centinela;centinel;1,47;1,36;1,5;1,81;1,31
central;central;1,05;1,8;1;1,1;1,25
centralismo;central;1,74;1,37;1,89;2;2,37
centralista;central;1,32;1,6;1,55;2,11;1,53
centralización;centraliz;1,37;1,55;1,4;2;1,65
centrar;centr;1,25;2,35;1,15;1,35;1,11
céntrica;centric;1,2;1,79;1,05;1,3;1,25
centrista;centrist;1,22;1,35;1,13;1,74;1,85
centro;centr;1,05;2,2;1,1;1,25;1,1
centroamericano;centroamerican;1,2;2,5;1,35;1,35;1,15
centrocampista;centrocamp;1,05;1,4;1;1,32;1,3
centuria;centuri;1,28;1,44;1,39;1,44;1,11
ceñir;ceñ;1,4;1,9;1,2;1,35;1,7
ceño;ceñ;1,29;1,53;1,53;1,75;1,87
cepa;cep;1,38;1,33;1,53;1,56;2,31
cepillo;cepill;1,1;1,07;1,33;1,03;1,73
cera;cer;1;1,8;1,1;1,25;1,9
cerámica;ceram;1,25;1,65;1,1;1,1;1,25
cerca;cerc;1,35;3,05;1,25;1,1;1,25
cercanía;cercan;1,1;3,35;1,2;1,1;1,4
cercano;cercan;1,15;3,15;1,3;1,1;1,05
cerciorar;cercior;1,17;2,24;1,67;1,41;1,43
cerco;cerc;1,74;1,2;1,95;1,37;1,25
cerda;cerd;2,05;1,3;1,37;2,35;3
cerdo;cerd;1,37;1,37;1,57;1,1;2,47
cereal;cereal;1;2,75;1;1;1
cerebelo;cerebel;1,3;2,1;1,15;1;1,65
cerebral;cerebral;1,7;2,35;2,35;1,35;1,65
cerebro;cerebr;1,4;2,6;1,35;1,05;1,75
ceremonia;ceremoni;1,8;2,65;1,7;1,45;1,2
ceremonial;ceremonial;1,35;2,4;1,25;1,45;1,6
cerezas;cerez;1,2;2,95;1;1,15;1,2
cerezo;cerez;1,05;2,6;1;1,05;1
cerilla;cerill;1,13;2;1,47;1,2;1,07
cernícalo;cernical;1,29;1,82;1,77;1,5;1,67
cero;cer;2,25;1,3;1,7;2,2;1,4
cerrada;cerr;2,3;1,1;2,2;1,55;1,5
cerrado;cerr;2,3;1,1;1,9;2,65;1,55
cerradura;cerradur;1,8;1,5;1,6;1,7;1,5
cerrajero;cerrajer;1,25;1,55;1,3;1,4;1,15
cerrar;cerr;1,75;1,53;1,45;1,7;1,05
cerro;cerr;1,22;2,19;1,75;1,24;1,45
cerrojo;cerroj;1,6;1,4;1,6;1,3;1,1
certamen;certam;1;2,45;1,85;1,45;1,65
