Word;lexema;tristeza;alegria;miedo;ira;asco;tipoPalabra;genero;numero
chorro;chorr;1,05;1,2;1,95;1,15;1,7;NOUN;M;S
choza;choz;1,95;1,4;1,7;1,75;2,35;PROPN;X;X
chubasco;chubasc;2,15;1,75;2;2,16;1,5;ADJ;M;S
chubasquero;chubasquer;1,35;1;2,2;1,25;1,26;NOUN;M;S
chuchería;chuch;1,03;1;3,8;1,03;1,1;VERB;X;S
chulo;chul;1,76;1,52;2,17;2,62;2,62;NOUN;M;S
chupar;chup;1,2;1,2;2,6;1,3;3,05;VERB;X;X
chupito;chupit;1,05;1,3;3,5;1,05;1,85;PROPN;X;X
chusma;chusm;2,55;2,55;1,1;3,05;3,3;NOUN;F;S
cían;cian;1,06;1;2,56;1;1;VERB;X;P
cianuro;cianur;2,22;2,85;1,2;1,89;2,4;NOUN;M;S
ciberespacio;ciberespaci;1,5;2,2;1,65;1,4;1,4;NOUN;M;S
cibernética;cibernet;1,35;1,78;2,05;1,79;1,15;PROPN;X;X
cicatriz;cicatriz;2,5;2,18;1,25;2,21;2,5;VERB;X;S
cíclico;ciclic;2,05;1,47;2,25;1,42;1,4;ADJ;M;S
ciclismo;ciclism;1,15;1,3;2,35;1,2;1,05;NOUN;M;S
ciclista;ciclist;1,05;1,3;2,2;1,15;1,05;NOUN;X;S
ciclo;cicl;1,57;1,3;2;1,2;1,1;PROPN;X;X
ciclomotor;ciclomotor;1,3;1,8;1,85;1,3;1,1;NOUN;M;S
ciclón;ciclon;2,73;3,93;1,07;1,83;1,37;PROPN;X;X
ciego;cieg;3,63;2,07;1,1;1,6;1,1;ADJ;M;S
cielo;ciel;1,93;1,97;4,07;1,03;1;NOUN;M;S
ciempiés;ciempies;1,07;1,8;1,47;1,27;3,23;NOUN;M;P
cien;cien;1,1;1,05;2;1,1;1,1;NUM;X;P
ciencia;cienci;1,1;1,35;3,1;1,1;1,3;PROPN;X;X
cieno;cien;1,57;2,21;1,36;1,57;3,71;NOUN;M;S
científica;cientif;1,2;1,83;2,53;1,3;1,33;PROPN;X;X
científico;cientif;1,37;1,27;3,4;1,37;1,2;ADJ;M;S
ciento;cient;1,3;1,26;1,8;1,2;1,05;NUM;X;X
cierne;ciern;1,38;1,47;1,44;1,64;1,2;PROPN;X;X
cierre;cierr;2,5;1,75;1,25;1,6;1,15;NOUN;M;S
cierta;ciert;1,11;1,1;2,6;1,1;1,05;ADJ;F;S
cierto;ciert;1,15;1,3;2,75;1,05;1,1;ADJ;M;S
ciervo;cierv;1,2;1,83;2,67;1,1;1,17;PROPN;X;X
cifra;cifr;1,35;1,2;1,65;1,4;1,3;NOUN;F;S
cifrado;cifr;1,37;1,67;1,37;1,56;1,19;ADJ;M;S
cifrar;cifr;1,55;1,3;1,4;1,35;1,05;VERB;X;X
cigÃ¼eña;cigÃ¼eñ;1,17;1,47;2,83;1,1;1,33;NOUN;X;X
cigarra;cigarr;1,17;1,35;1,74;1,84;2,84;PROPN;X;X
cigarrillo;cigarrill;2,83;2,77;1,83;2,6;3,53;PROPN;X;X
cigarro;cigarr;2,1;2,1;2;2,2;2,95;NOUN;M;S
cilíndrico;cilindr;1,25;1,37;1,55;1;1,15;ADJ;M;S
cilindro;cilindr;1,1;1,1;1,9;1,15;1,21;PROPN;X;X
cima;cim;1,4;1,5;3,65;1,25;1,1;NOUN;F;S
cimiento;cimient;1,3;1,25;1,65;1,4;1,35;PROPN;X;X
cinc;cinc;1,11;1,15;1,41;1,28;1,61;VERB;X;S
cincel;cincel;1,14;1,19;1,56;1,06;1,2;NOUN;F;S
cinco;cinc;1,6;1;1,85;1,15;1;NUM;X;P
cincuenta;cincuent;1,45;1,25;1,9;1,5;1,1;NUM;X;P
cine;cin;2,2;2,17;4,53;1,87;1,47;NOUN;M;S
cineasta;cineast;1,26;1;3,5;1,15;1,1;NOUN;X;S
cinematografía;cinematograf;1;1,05;2,35;1,3;1,05;NOUN;F;S
cinematógrafo;cinematograf;1,6;1,05;3,8;1,1;1,1;PROPN;X;X
cinética;cinet;1,25;1,2;1,89;1,47;1,1;VERB;X;S
cínico;cinic;2,58;1,72;1,25;3,2;2,32;ADJ;M;S
cinismo;cinism;2,89;1,95;1,47;3,68;2,45;NOUN;M;S
cinta;cint;1,45;1,25;2,1;1,05;1,05;NOUN;F;S
cinto;cint;1,36;1,24;1,53;1,27;1,47;NOUN;M;S
cintura;cintur;1,15;1,3;2,75;1,05;1,15;NOUN;F;S
cinturón;cinturon;1,4;1,9;1,8;2,07;1,53;NOUN;M;S
ciprés;cipres;1,3;1,17;2,53;1;1,16;PROPN;X;X
circo;circ;1,93;1,4;3,2;1,23;1,6;NOUN;M;S
circonita;circonit;1,13;1;2,35;1,07;1,47;PROPN;X;X
circuito;circuit;1,1;1,15;2,16;1,15;1,1;NOUN;M;S
circulación;circul;1,2;1,47;1,47;1,33;1,47;NOUN;F;S
circulante;circul;1,25;1,45;1,63;1,4;1,11;ADV;X;X
circular;circul;1,2;1,35;1,65;1,15;1,1;VERB;X;X
circulatorio;circulatori;1,25;1,7;1,75;1,1;1,35;NOUN;M;S
círculo;circul;1,3;1,3;1,63;1,3;1,27;NOUN;M;S
circundante;circund;1,17;1,11;1,56;1;1,35;ADJ;X;S
circundar;circund;1,82;1,35;1,44;2,37;2,75;VERB;X;X
circunferencia;circunferent;1;1,05;1,7;1,05;1;PROPN;X;X
circunscripción;circunscripcion;1,06;1,11;1,31;1,76;1,72;NOUN;F;S
circunstancia;circunst;1,9;1,7;1,95;1,95;1,21;NOUN;F;S
circunvalación;circunval;1,58;1,56;1,55;1,61;1,67;NOUN;F;S
cirrosis;cirrosis;3,47;3,17;1,06;2,65;3,8;NOUN;F;X
ciruela;ciruel;1,1;1,05;2,5;1,15;1,35;ADJ;F;S
ciruelo;ciruel;1,05;1,15;2,3;1;1,5;NOUN;M;S
cirugía;cirug;2,07;3,93;1,43;1,27;2,2;NOUN;F;S
cirujano;cirujan;1,77;3,03;2,1;1,33;1,9;NOUN;M;S
cisne;cisn;1,23;1,37;3,03;1,1;1,03;VERB;X;S
cisterna;cistern;1,25;1,35;1,3;1,53;2,1;PROPN;X;X
cistitis;cistitis;2,76;3,32;1,31;2,84;3,63;PROPN;X;X
cita;cit;1,37;2,3;3,3;1,4;1,23;NOUN;F;S
citación;citacion;1,75;2,2;1,9;1,32;1,3;NOUN;F;S
citar;cit;1,1;1,5;2,35;1,25;1,25;VERB;X;X
citoplasma;citoplasm;1;1,05;1,53;1;1,75;PROPN;X;X
ciudad;ciud;1,63;1,7;2,5;1,57;1,43;NOUN;F;S
ciudadana;ciudadan;1,25;1,25;2,55;1,15;1,1;PROPN;X;X
ciudadanía;ciudadan;1,65;1,85;2,55;1,5;1,2;NOUN;F;S
ciudadano;ciudadan;1,45;1,15;2,25;1,3;1,15;NOUN;M;S
ciudadela;ciudadel;1,24;1,12;2,06;1,29;1,33;PROPN;X;X
cívica;civic;1,6;1,11;2;1,45;1,35;ADJ;F;S
civil;civil;1,45;1,5;1,55;1,55;1,3;ADJ;X;S
civilización;civiliz;1,53;1,6;2,77;1,6;1,63;NOUN;F;S
clamar;clam;1,11;1,78;1,89;1,71;1,25;VERB;X;X
clamor;clamor;1,31;1,43;2,17;1,88;1,28;NOUN;M;S
clan;clan;1,65;1,84;1,9;1,85;1,5;VERB;X;P
clandestina;clandestin;2;2,17;2,35;2,1;1,45;PROPN;X;X
clandestinidad;clandestin;2,8;2,9;1,4;2;2,55;NOUN;F;S
claqué;claqu;1,2;1;2;1,35;1,25;NOUN;M;S
clara;clar;1;1,05;2,65;1,15;1,1;ADJ;F;S
claridad;clarid;1,17;1,13;3,67;1,1;1,1;NOUN;F;S
clarificación;clarif;1,1;1,3;2,4;1,21;1,11;NOUN;F;S
clarificar;clarific;1,15;1,1;2,4;1,2;1,15;VERB;X;X
clarín;clarin;1,17;1;1,81;1,22;1;VERB;X;S
clarinete;clarinet;1,2;1;2,8;1,05;1,2;PROPN;X;X
clarividencia;clarivident;1,47;1,61;2,25;1,41;1,5;NOUN;F;S
claro;clar;1;1,05;2,45;1,1;1,05;ADV;X;X
clase;clas;1,2;1,43;2,7;1,13;1,13;NOUN;F;S
clásica;clasic;1,2;1,15;2,7;1,1;1,2;ADJ;F;S
clasicismo;clasic;2,1;2;1,65;1,95;1,75;NOUN;M;S
clásico;clasic;1,55;1,4;2,05;1,3;1,4;ADJ;M;S
clasificación;clasif;1,7;1,5;2,1;1,45;1,35;NOUN;F;S
clasificar;clasific;1,55;1,35;1,75;1,65;1,3;VERB;X;X
clasificatoria;clasificatori;1,35;1,15;1,7;1,65;1,6;ADJ;F;S
claustro;claustr;1,45;2;1,4;1,95;1,55;NOUN;M;S
cláusula;clausul;1,68;1,6;1,5;2,1;1,84;VERB;X;S
clausura;clausur;2,45;3,05;1,2;2,25;1,95;VERB;X;S
clausurar;clausur;2,45;1,8;1,25;2,3;1,9;VERB;X;X
clavar;clav;2,05;2,35;1,55;2,05;2,15;VERB;X;X
clave;clav;1,2;1,35;2,3;1,15;1,15;NOUN;F;S
clavel;clavel;1,33;1,07;3,37;1,1;1,07;PROPN;X;X
claves;clav;1,1;1,1;1,65;1,5;1,1;NOUN;F;P
clavícula;clavicul;1,1;1,5;1,85;1,4;1,65;NOUN;F;S
clavo;clav;1,3;2,05;1,35;1,4;1,6;SCONJ;X;X
clemencia;clemenci;2,5;1,65;2,11;1,9;1,53;NOUN;F;S
clemente;clement;1,68;1,45;2,22;1,21;1,61;ADV;X;X
clerecía;clerec;1,67;1,46;1,15;1,43;2,6;VERB;X;S
clerical;clerical;1,95;1,58;1,05;2,78;3,12;ADJ;X;S
clérigo;clerig;1,95;1,74;1,3;2,05;2,05;NOUN;M;S
clero;cler;1,95;1,72;1,2;2,31;2,05;NOUN;M;S
clic;clic;1,2;1;2,16;1,3;1,3;PROPN;X;X
cliente;client;1,07;1,37;3,33;1,33;1,13;NOUN;X;S
clientela;clientel;1,05;1,1;3,25;1,4;1,35;PROPN;X;X
clima;clim;2;1,93;2,53;1,7;1,63;NOUN;M;S
climático;climat;2,1;1,95;1,7;1,8;1,1;ADJ;M;S
clínica;clinic;2,26;1,8;1,8;1,45;1,8;NOUN;F;S
clip;clip;1;1,1;2,37;1;1;NOUN;M;S
clonación;clonacion;1,65;1,9;1,7;1,75;1,5;NOUN;F;S
cloro;clor;1,25;1,05;1,53;1,45;2,1;NOUN;M;S
cloruro;clorur;1,6;1,95;1,45;1,25;1,5;NOUN;M;S
club;club;1,15;1,35;2,65;1,5;1,35;NOUN;M;S
coacción;coaccion;3,33;3,47;1,2;3,8;3,07;NOUN;F;S
coaccionar;coaccion;2,89;3,61;1,07;3,7;3,14;VERB;X;X
coagulación;coagul;1,6;2,45;1,32;1,45;2,28;NOUN;F;S
coalición;coalicion;1,94;2,05;1,72;2;1,63;NOUN;F;S
coartada;coart;1,94;2,11;1,7;2,16;1,65;ADJ;F;S
coautor;coautor;1,13;1,32;2,21;1,29;1,21;NOUN;M;S
cobalto;cobalt;1,2;1,11;2;1,21;1,32;NOUN;M;S
cobarde;cobard;2,73;2;1,1;2,4;1,93;ADJ;X;S
cobardía;cobard;2,9;2,3;1,1;3,2;2,45;NOUN;F;S
cobaya;cobay;1,35;1,15;2,8;1,15;1,7;PROPN;X;X
cobertizo;cobertiz;1,3;1,75;1,7;1,35;1,61;VERB;X;S
cobertura;cobertur;1,11;1,25;2,5;2,05;1,4;NOUN;F;S
cobijo;cobij;1,45;1,25;3,35;1,25;1,05;NOUN;M;S
cobra;cobr;1,2;3,4;1,45;1,8;2,75;VERB;X;S
cobrar;cobr;1,28;1,24;4,07;1,21;1,17;VERB;X;X
cobre;cobr;1,4;1,1;1,5;1,21;1,7;NOUN;M;S
cobro;cobr;1,55;1,65;3,11;1,6;1,15;NOUN;M;S
cocaína;cocain;3;3,5;1,03;2,7;3,7;NOUN;F;S
cocción;coccion;1,15;1,42;1,74;1,47;1,25;NOUN;F;S
cocer;coc;1,31;1,34;1,38;1,21;1,41;VERB;X;X
coche;coch;1,23;1,83;2,87;1,4;1,17;NOUN;M;S
cochecito;cochecit;1,25;1,1;2,7;1,05;1,1;NOUN;M;S
cochera;cocher;1,1;1,25;1,68;1,1;1,32;PROPN;X;X
cochero;cocher;1,15;1,05;2,05;1,11;1,11;NOUN;M;S
cochinilla;cochinill;1,21;1,18;1,61;1,07;2,21;NOUN;F;S
cocido;coc;1,25;1,25;2,4;1,2;1,9;ADJ;M;S
cociente;cocient;1,05;1,22;1,9;1,3;1,11;ADJ;X;S
cocina;cocin;1,03;1,23;2,3;1,07;1,17;NOUN;F;S
cocinar;cocin;1,35;1,2;2,6;1,5;1,35;VERB;X;X
cocinera;cociner;1,15;1,05;2,9;1,1;1,1;VERB;X;S
cocinero;cociner;1,17;1,13;2,67;1,1;1,13;NOUN;M;S
cocinilla;cocinill;1,21;1,2;2,1;1,2;1,3;PROPN;X;X
cocinita;cocinit;1,2;1,1;2,8;1,05;1,37;PROPN;X;X
coco;coc;1,2;1,23;3,03;1,23;1,7;PROPN;X;X
cocodrilo;cocodril;1,13;3,8;1,33;1,4;1,8;VERB;X;S
cocotero;cocoter;1,15;1,05;3;1,05;1,05;NOUN;M;S
cóctel;coctel;1,25;1,05;3,42;1,1;1,15;NOUN;M;S
códice;codic;1,13;1;1,4;1,3;1,07;PROPN;X;X
codicia;codici;2,8;1,93;1,07;3,2;2,93;NOUN;F;S
codicioso;codici;2,6;1,97;1,3;2,77;2,57;ADJ;M;S
codificación;codif;1,05;1,26;1,9;1,3;1,7;NOUN;F;S
codificar;codific;1,2;1,6;1,53;1,8;1,15;VERB;X;X
código;codig;1,4;1,67;1,5;1,53;1,23;PROPN;X;X
codo;cod;1,3;1,3;1,33;1,37;1,27;NOUN;M;S
codorniz;codorniz;1,05;1;2,25;1,2;1,4;PROPN;X;X
coeficiente;coeficient;1,45;1,3;1,9;1,2;1,25;ADV;X;X
coerción;coercion;3,15;2,38;1,23;2,13;2,33;NOUN;F;S
coexistencia;coexistent;1,4;1,9;2,5;1,2;1,2;NOUN;F;S
coexistir;coexist;1,21;1,25;2,55;1,15;1,25;VERB;X;X
cofinanciación;cofinanci;1,78;2,13;1,63;1,47;1,7;NOUN;F;S
cofradía;cofrad;1,83;1,16;1,85;1,94;1,78;NOUN;F;S
cofre;cofr;1,05;1,25;2,9;1,1;1,1;NOUN;M;S
cofundador;cofund;1,11;1,05;1,5;1,26;1,05;NOUN;M;S
coger;cog;1,2;1,5;2,1;1,2;1,15;VERB;X;X
cogida;cog;1,79;1,84;1,47;1,63;1,85;NOUN;F;S
cogido;cog;1,84;1,4;1,55;1,47;1,3;ADJ;M;S
cognición;cognicion;1,25;1,45;2,63;1,42;1,35;NOUN;F;S
cognitiva;cognit;1,1;1,35;2,8;1,2;1,2;NOUN;F;S
cogollo;cogoll;1,05;1,15;2,25;1,35;1,7;NOUN;M;S
cogote;cogot;1,05;1,1;1,74;1,42;1,37;NOUN;M;S
cohecho;cohech;1,79;1,82;1,4;2,35;2;NOUN;M;S
coherencia;coherent;1,3;1,25;2,8;1,3;1,1;NOUN;F;S
coherente;coherent;1,15;1,11;3,05;1,05;1;ADJ;X;S
cohesión;cohesion;1,65;1,75;2,05;1,35;1,3;NOUN;F;S
cohete;cohet;1,1;2;2,15;1,35;1,45;PROPN;X;X
coincidencia;coincident;1,05;1,3;2,85;1,3;1,1;NOUN;F;S
coincidente;coincident;1,1;1,11;2,05;1,1;1,15;ADV;X;X
coincidir;coincid;1,1;1,2;3,35;1,3;1,1;VERB;X;X
coito;coit;1,17;1,37;3,73;1,27;1,2;NOUN;M;S
coja;coj;2,4;1,55;1,15;1,55;1,3;ADJ;F;S
cojo;coj;2,7;1,47;1,13;1,33;1,2;NOUN;M;S
col;col;1,5;1;1,4;1,21;1,95;VERB;X;S
cola;col;1,43;1,13;1,5;1,63;1,23;PROPN;X;X
colaboración;colabor;1,07;1,3;3,47;1,1;1,13;NOUN;F;S
colaborador;colabor;1,25;1,25;2,75;1,15;1,3;NOUN;M;S
colaboradora;colabor;1,2;1,1;3;1,05;1,1;ADJ;F;S
colaborar;colabor;1,2;1,2;3,6;1,4;1;VERB;X;X
colación;colacion;1,5;1,43;1,47;1,38;1,25;NOUN;F;S
colador;colador;1;1,1;1,55;1,05;1,2;NOUN;M;S
colapso;colaps;2,27;2,77;1,13;2,63;1,5;NOUN;M;S
colar;col;1,65;1,42;1,8;2,26;2,4;PROPN;X;X
colateral;colateral;2,35;1,8;1,35;1,58;1,61;ADJ;X;S
colcha;colch;1,2;1;2,5;1,05;1,3;NOUN;F;S
colchón;colchon;1,05;1;3,8;1,05;1,1;PROPN;X;X
colchoneta;colchonet;1;1;2,9;1,25;1,3;PROPN;X;X
cole;col;1,79;1,15;2,95;1,74;1,67;NOUN;M;P
colección;coleccion;1,35;1,2;2,65;1,15;1,35;NOUN;F;S
coleccionar;coleccion;1,15;1,2;2,75;1;1,05;VERB;X;X
coleccionista;coleccion;1,1;1,15;2,55;1,1;1,3;ADJ;X;S
colecta;colect;1,5;1,25;2,5;1,35;1,5;PROPN;X;X
colectividad;colect;1,1;1,4;3,25;1,5;1,6;NOUN;F;S
colectivo;colect;1,3;1,45;3,05;1,55;1,1;NOUN;M;S
colega;coleg;1,1;1,2;3,95;1,1;1,15;VERB;X;S
colegiado;colegi;1,35;1,05;2,1;1,15;1,25;NOUN;M;S
colegial;colegial;1,1;1,15;2,4;1,2;1,35;ADJ;X;S
colegiata;colegiat;1,25;1,19;1,47;1,42;1,58;NOUN;F;S
colegio;colegi;1,8;1,3;2,3;1,35;1,6;NOUN;M;S
cólera;coler;2,57;2,5;1;3,97;2,2;PROPN;X;X
colesterol;colesterol;2,4;2,35;1,1;2,4;2,65;NOUN;M;S
colgador;colgador;1,2;1,15;1,6;1,26;1,11;NOUN;M;S
colgante;colgant;1,25;1,15;2,95;1,05;1,05;ADJ;X;S
colgar;colg;1,85;1,85;1,85;1,65;1,45;VERB;X;X
colibrí;colibr;1,1;1,2;2,83;1,13;1,33;PROPN;X;X
cólico;colic;2,68;2,53;1;3;3,37;ADJ;M;S
colina;colin;1,25;1,4;2,2;1,45;1,1;PROPN;X;X
colindante;colind;1,19;1,39;1,47;1,12;1;ADV;X;X
colindar;colind;1,25;1,53;1,72;1,06;1,43;VERB;X;X
coliseo;colise;1,4;1,35;2,4;1,35;1;PROPN;X;X
colisión;colision;2,8;3,45;1,4;2,8;2;NOUN;F;S
collado;coll;1,06;1,36;1,5;1,12;1,23;NOUN;M;S
collar;coll;1,17;1,07;2,93;1;1,03;VERB;X;X
colmar;colm;1,95;1,7;1,79;1,75;1,05;VERB;X;X
colmena;colmen;1,58;2,8;1,25;2,05;2,4;VERB;X;S
colmo;colm;1,75;1,53;1,45;2,25;1,5;PROPN;X;X
colocación;coloc;1,3;1,05;1,55;1,85;1,35;NOUN;F;S
colocar;coloc;1,45;1,15;2,15;1;1,4;VERB;X;X
colofón;colofon;1,4;1,83;1,93;1,21;1,38;PROPN;X;X
colombiano;colombian;1,15;1,55;2,15;1,3;1,2;ADJ;M;S
colon;colon;1,85;2,1;1,3;1,3;2,6;PROPN;X;X
colonia;coloni;1,43;1,2;3,37;1,23;1,7;NOUN;F;S
colonial;colonial;1,7;1,55;1,45;1,6;1,45;ADJ;X;S
colonialismo;colonial;2,5;1,85;1,65;2,85;1,89;NOUN;M;S
colonización;coloniz;2,8;2,7;1,85;2,6;2,15;NOUN;F;S
colonizar;coloniz;2,2;2,5;1,6;1,95;2,35;VERB;X;X
colono;colon;1,75;1,72;1,59;1,79;1,53;NOUN;M;S
coloquial;coloquial;1,45;1,3;2,74;1,15;1,3;ADJ;X;S
coloquio;coloqui;1,16;1;2,22;1,68;1,12;PROPN;X;X
color;color;1,63;1,27;3,63;1,27;1,3;NOUN;M;S
coloración;color;1,05;1,05;2,05;1,2;1,45;NOUN;F;S
colorado;color;1,23;1,33;2,4;2,2;1,13;PROPN;X;X
colorante;color;1,15;1,35;1,95;1,6;1,55;ADJ;X;S
colores;color;1,4;1;3,55;1,05;1,05;NOUN;M;P
colorido;color;1,2;1;3,6;1;1;ADJ;M;S
colorín;colorin;1,15;1;2,79;1;1,05;VERB;X;S
colosal;colosal;1,22;1,44;2,95;1,29;1,05;NOUN;M;S
coloso;colos;1,29;1,33;1,94;1,58;1,31;NOUN;M;S
columna;column;1,1;1,37;1,17;1,2;1,07;NOUN;F;S
columnas;column;1,25;1,2;2;1,5;1,15;NOUN;F;P
columnista;column;1,4;1,21;2,05;1,42;1,1;NOUN;X;S
columpio;columpi;1,13;1,43;3,87;1,07;1,07;NOUN;M;S
coma;com;2,13;2;1,17;1,5;1,07;NOUN;M;S
comadre;comadr;1,18;1,29;1,63;1,31;1,5;NOUN;F;S
comadreja;comadrej;1,27;1,87;1,93;1,2;1,77;VERB;X;S
comadrona;comadron;1,45;2,1;2,83;1,45;1,72;NOUN;F;S
comandancia;comand;1,55;2,1;1,58;2,25;1,44;NOUN;F;S
comandante;comand;1,1;1,75;1,85;1,65;1,45;NOUN;X;S
comandar;comand;1,15;1,3;1,94;1,68;1,35;VERB;X;X
comando;com;1,85;1,8;1,7;1,6;1,85;NOUN;M;S
comarca;comarc;1,2;1,2;1,85;1;1,15;PROPN;X;X
comarcal;comarcal;1,05;1,05;1,6;1,3;1,1;ADJ;X;S
comas;com;1,05;1,25;1,47;1,2;1;NOUN;M;P
comba;comb;1;1,2;2,7;1,1;1,11;NOUN;F;S
combate;combat;2,25;3,1;1,7;2,35;2,05;NOUN;M;S
combatiente;combatient;2,74;2,6;1,47;2,55;2,05;NOUN;X;S
combatir;combat;2,55;2,95;1,75;2,6;1,95;VERB;X;X
combativo;combat;2,25;1,89;1,53;2,63;2,05;ADJ;M;S
combinación;combin;1,4;1,6;1,97;1,4;1,47;NOUN;F;S
combinado;combin;1,05;1,1;1,9;1,15;1,1;ADJ;M;S
combinar;combin;1,05;1,1;2;1,15;1,25;VERB;X;X
combustible;combust;1,35;1,75;1,45;2,05;2,1;ADJ;X;S
combustión;combustion;1,95;2,65;1,7;2,2;1,8;NOUN;F;S
comedia;comedi;1,13;1;4,43;1,07;1,07;PROPN;X;X
comediante;comedi;1,1;1,1;2,9;1,3;1,15;ADV;X;X
comedor;comedor;1,27;1,17;2,73;1,1;1,33;ADJ;M;S
comendador;comend;1,12;1,53;1,5;1,61;1,63;NOUN;M;S
comentar;coment;1,35;1,35;2,1;1,25;1,35;VERB;X;X
comentario;comentari;2,13;2;2,47;2,1;1,8;NOUN;M;S
comentarista;comentar;1,1;1,1;2,3;1,7;1,55;NOUN;X;S
comenzar;comenz;1,73;2,37;3,1;1,2;1,23;VERB;X;X
comer;com;1,2;1,23;3,73;1,17;1,33;VERB;X;X
comercial;comercial;1,5;1,05;2,5;1,6;1,55;ADJ;X;S
comercialización;comercializ;1,55;1,25;1,85;1,65;1,85;NOUN;F;S
comercializar;comercializ;1,25;1,25;2,15;1,3;1,35;VERB;X;X
comerciante;comerci;1,2;1,3;1,6;1,55;1,3;ADV;X;X
comerciar;comerci;1,25;1,3;1,8;1,6;1,35;VERB;X;X
comercio;comerci;1,37;1,53;2,13;1,4;1,3;NOUN;M;S
comestible;comest;1,05;1,05;3,55;1,15;1,1;ADJ;X;S
cometa;comet;1,3;1,47;3,43;1,1;1,03;PROPN;X;X
cometer;comet;2,2;2,2;1,45;1,4;1,4;VERB;X;X
cometido;comet;1,35;1,2;1,83;1,7;1,47;ADJ;M;S
cómic;comic;1,25;1,25;2,8;1,05;1,1;NOUN;M;S
comicidad;comic;1;1,17;3,14;1;1;NOUN;F;S
cómico;comic;1,03;1,1;4,2;1;1,03;ADJ;M;S
comida;com;1,2;1,2;3,23;1,13;1,4;NOUN;F;S
comienzo;comienz;1,3;1,55;3,35;1,47;1,05;NOUN;M;S
comillas;comill;1,1;1,15;1,85;1,25;1,05;PROPN;X;X
comino;comin;1,56;1;1,37;1,25;1,71;PROPN;X;X
comisaria;comisari;1,6;2,15;1,3;2,3;1,95;NOUN;F;S
comisaría;comis;2,3;2,4;1,2;2,05;2,1;VERB;X;S
comisario;comisari;1,5;1,95;1,85;1,75;1,85;NOUN;M;S
comisión;comision;2,15;1,85;1,95;2,05;1,95;NOUN;F;S
comité;comit;1,4;1,35;2;1,35;1,65;PROPN;X;X
comitiva;comit;1,05;1,18;2,16;1,32;1,83;NOUN;F;S
cómo;com;1,2;1,1;1,75;1,05;1,15;PRON;X;X
cómoda;comod;1,35;1,25;3,55;1,05;1;ADJ;F;S
comodidad;comod;1,23;1,13;4,1;1,03;1,17;NOUN;F;S
comodín;comodin;1,37;1;3,1;1,15;1,2;ADJ;M;S
cómodo;comod;1,13;1,07;3,73;1,1;1,1;ADJ;M;S
compacta;compact;1,2;1,4;1,8;1,05;1,2;ADJ;F;S
compacto;compact;1,15;1,2;1,8;1;1,2;NOUN;M;S
compadecer;compadec;3,4;1,8;1,5;1,8;1,43;VERB;X;X
compadre;compadr;1,11;1;2,58;1,25;1,35;NOUN;M;S
compaginar;compagin;1,2;1,7;2,7;1,25;1,16;VERB;X;X
compaña;compañ;1;1,27;1,4;1,27;1,43;PROPN;X;X
compañero;compañer;1,7;1,4;4;1,43;1,17;NOUN;M;S
compañía;compañ;1,2;1,15;3,3;1,05;1,05;NOUN;F;S
compañía;compañ;1,37;1,67;3,93;1,17;1,37;NOUN;F;S
comparable;compar;1,5;1,35;1,35;1,45;1,45;ADJ;X;S
comparación;compar;2,6;1,9;1,6;2,4;1,85;NOUN;F;S
comparar;compar;2,2;2,05;1,85;2,45;1,7;VERB;X;X
comparativo;compar;1,9;1,25;1,15;2,4;1,85;ADJ;M;S
comparecencia;comparecent;1,68;1,63;1,89;1,42;1,32;NOUN;F;S
comparecer;comparec;1,9;1,95;1,84;2,05;1,7;VERB;X;X
comparsa;compars;1,16;1,12;3,33;1,33;1,16;PROPN;X;X
compartimento;compartiment;2;1,3;2,11;1,55;1,5;NOUN;M;S
compartimiento;compart;1,35;1,5;2,11;1,35;1,3;NOUN;M;S
compartir;compart;1,17;1,43;4,23;1,2;1,23;VERB;X;X
compás;compas;1,1;1,45;1,9;1,45;1,4;NOUN;M;S
compasión;compasion;2,8;1,23;1,97;1,57;1,2;NOUN;F;S
compasivo;compas;2;1,47;3,33;1,3;1,13;ADJ;M;S
compatibilidad;compatibil;1,1;1,65;3;1,3;1,35;NOUN;F;S
compatible;compat;1,25;1,3;3,4;1;1,1;ADJ;X;S
compatriota;compatriot;1,7;1,75;2,05;1,15;1,35;NOUN;X;S
compendio;compendi;1,5;1,21;2,09;1,1;1,31;NOUN;M;S
compensación;compens;1,5;1,3;2,95;1,3;1,05;NOUN;F;S
compensar;compens;1,15;1,8;3,25;1,2;1,25;VERB;X;X
compensatoria;compensatori;1,37;1,35;2,25;1,2;1,3;NOUN;F;S
competencia;competent;1,8;2,25;2,8;2,45;1,65;NOUN;F;S
competencial;competencial;1,65;1,4;1,58;1,5;1,32;ADJ;X;S
competente;competent;1,23;1,74;3,71;1,39;1,35;ADJ;X;S
competer;compet;1,36;1,31;1,71;1,6;1,06;VERB;X;X
competición;competicion;1,55;1,7;3,05;2,35;1,8;NOUN;F;S
competidor;competidor;1,6;1,65;2;2,25;1,85;NOUN;M;S
competir;compet;1,9;2,4;2,2;2,4;1,8;VERB;X;X
competitiva;competit;2,1;1,8;2,3;2,45;2,5;ADJ;F;S
competitividad;competit;1,85;1,95;2,2;2,35;1,7;NOUN;F;S
competitivo;competit;1,9;2,07;2,27;2,3;1,67;ADJ;M;S
compilación;compil;1,47;1,29;1,5;1,62;1,08;NOUN;F;S
compilador;compil;1;1,25;1,63;1,42;1,08;NOUN;M;S
