Word;lexema;tristeza;alegria;miedo;ira;asco;tipoPalabra
clima;clim;2;1,93;2,53;1,7;1,63;NOUN
climático;climat;2,1;1,95;1,7;1,8;1,1;ADJ
clínica;clinic;2,26;1,8;1,8;1,45;1,8;NOUN
clip;clip;1;1,1;2,37;1;1;NOUN
clonación;clonacion;1,65;1,9;1,7;1,75;1,5;NOUN
cloro;clor;1,25;1,05;1,53;1,45;2,1;NOUN
cloruro;clorur;1,6;1,95;1,45;1,25;1,5;NOUN
club;club;1,15;1,35;2,65;1,5;1,35;NOUN
coacción;coaccion;3,33;3,47;1,2;3,8;3,07;NOUN
coaccionar;coaccion;2,89;3,61;1,07;3,7;3,14;VERB
coagulación;coagul;1,6;2,45;1,32;1,45;2,28;NOUN
coalición;coalicion;1,94;2,05;1,72;2;1,63;NOUN
coartada;coart;1,94;2,11;1,7;2,16;1,65;ADJ
coautor;coautor;1,13;1,32;2,21;1,29;1,21;NOUN
cobalto;cobalt;1,2;1,11;2;1,21;1,32;NOUN
cobarde;cobard;2,73;2;1,1;2,4;1,93;ADJ
cobardía;cobard;2,9;2,3;1,1;3,2;2,45;NOUN
cobaya;cobay;1,35;1,15;2,8;1,15;1,7;PROPN
cobertizo;cobertiz;1,3;1,75;1,7;1,35;1,61;VERB
cobertura;cobertur;1,11;1,25;2,5;2,05;1,4;NOUN
cobijo;cobij;1,45;1,25;3,35;1,25;1,05;NOUN
cobra;cobr;1,2;3,4;1,45;1,8;2,75;VERB
cobrar;cobr;1,28;1,24;4,07;1,21;1,17;VERB
cobre;cobr;1,4;1,1;1,5;1,21;1,7;NOUN
cobro;cobr;1,55;1,65;3,11;1,6;1,15;NOUN
cocaína;cocain;3;3,5;1,03;2,7;3,7;NOUN
cocción;coccion;1,15;1,42;1,74;1,47;1,25;NOUN
cocer;coc;1,31;1,34;1,38;1,21;1,41;VERB
coche;coch;1,23;1,83;2,87;1,4;1,17;NOUN
cochecito;cochecit;1,25;1,1;2,7;1,05;1,1;NOUN
cochera;cocher;1,1;1,25;1,68;1,1;1,32;PROPN
cochero;cocher;1,15;1,05;2,05;1,11;1,11;NOUN
cochinilla;cochinill;1,21;1,18;1,61;1,07;2,21;NOUN
cocido;coc;1,25;1,25;2,4;1,2;1,9;ADJ
cociente;cocient;1,05;1,22;1,9;1,3;1,11;ADJ
cocina;cocin;1,03;1,23;2,3;1,07;1,17;NOUN
cocinar;cocin;1,35;1,2;2,6;1,5;1,35;VERB
cocinera;cociner;1,15;1,05;2,9;1,1;1,1;VERB
cocinero;cociner;1,17;1,13;2,67;1,1;1,13;NOUN
cocinilla;cocinill;1,21;1,2;2,1;1,2;1,3;PROPN
cocinita;cocinit;1,2;1,1;2,8;1,05;1,37;PROPN
coco;coc;1,2;1,23;3,03;1,23;1,7;PROPN
cocodrilo;cocodril;1,13;3,8;1,33;1,4;1,8;VERB
cocotero;cocoter;1,15;1,05;3;1,05;1,05;NOUN
cóctel;coctel;1,25;1,05;3,42;1,1;1,15;NOUN
códice;codic;1,13;1;1,4;1,3;1,07;PROPN
codicia;codici;2,8;1,93;1,07;3,2;2,93;NOUN
codicioso;codici;2,6;1,97;1,3;2,77;2,57;ADJ
codificación;codif;1,05;1,26;1,9;1,3;1,7;NOUN
codificar;codific;1,2;1,6;1,53;1,8;1,15;VERB
código;codig;1,4;1,67;1,5;1,53;1,23;PROPN
codo;cod;1,3;1,3;1,33;1,37;1,27;NOUN
codorniz;codorniz;1,05;1;2,25;1,2;1,4;PROPN
coeficiente;coeficient;1,45;1,3;1,9;1,2;1,25;ADV
coerción;coercion;3,15;2,38;1,23;2,13;2,33;NOUN
coexistencia;coexistent;1,4;1,9;2,5;1,2;1,2;NOUN
coexistir;coexist;1,21;1,25;2,55;1,15;1,25;VERB
cofinanciación;cofinanci;1,78;2,13;1,63;1,47;1,7;NOUN
cofradía;cofrad;1,83;1,16;1,85;1,94;1,78;NOUN
cofre;cofr;1,05;1,25;2,9;1,1;1,1;NOUN
cofundador;cofund;1,11;1,05;1,5;1,26;1,05;NOUN
coger;cog;1,2;1,5;2,1;1,2;1,15;VERB
cogida;cog;1,79;1,84;1,47;1,63;1,85;NOUN
cogido;cog;1,84;1,4;1,55;1,47;1,3;ADJ
cognición;cognicion;1,25;1,45;2,63;1,42;1,35;NOUN
cognitiva;cognit;1,1;1,35;2,8;1,2;1,2;NOUN
cogollo;cogoll;1,05;1,15;2,25;1,35;1,7;NOUN
cogote;cogot;1,05;1,1;1,74;1,42;1,37;NOUN
cohecho;cohech;1,79;1,82;1,4;2,35;2;NOUN
coherencia;coherent;1,3;1,25;2,8;1,3;1,1;NOUN
coherente;coherent;1,15;1,11;3,05;1,05;1;ADJ
cohesión;cohesion;1,65;1,75;2,05;1,35;1,3;NOUN
cohete;cohet;1,1;2;2,15;1,35;1,45;PROPN
coincidencia;coincident;1,05;1,3;2,85;1,3;1,1;NOUN
coincidente;coincident;1,1;1,11;2,05;1,1;1,15;ADV
coincidir;coincid;1,1;1,2;3,35;1,3;1,1;VERB
coito;coit;1,17;1,37;3,73;1,27;1,2;NOUN
coja;coj;2,4;1,55;1,15;1,55;1,3;ADJ
cojo;coj;2,7;1,47;1,13;1,33;1,2;NOUN
col;col;1,5;1;1,4;1,21;1,95;VERB
cola;col;1,43;1,13;1,5;1,63;1,23;PROPN
colaboración;colabor;1,07;1,3;3,47;1,1;1,13;NOUN
colaborador;colabor;1,25;1,25;2,75;1,15;1,3;NOUN
colaboradora;colabor;1,2;1,1;3;1,05;1,1;ADJ
colaborar;colabor;1,2;1,2;3,6;1,4;1;VERB
colación;colacion;1,5;1,43;1,47;1,38;1,25;NOUN
colador;colador;1;1,1;1,55;1,05;1,2;NOUN
colapso;colaps;2,27;2,77;1,13;2,63;1,5;NOUN
colar;col;1,65;1,42;1,8;2,26;2,4;PROPN
colateral;colateral;2,35;1,8;1,35;1,58;1,61;ADJ
colcha;colch;1,2;1;2,5;1,05;1,3;NOUN
colchón;colchon;1,05;1;3,8;1,05;1,1;PROPN
colchoneta;colchonet;1;1;2,9;1,25;1,3;PROPN
cole;col;1,79;1,15;2,95;1,74;1,67;NOUN
colección;coleccion;1,35;1,2;2,65;1,15;1,35;NOUN
coleccionar;coleccion;1,15;1,2;2,75;1;1,05;VERB
coleccionista;coleccion;1,1;1,15;2,55;1,1;1,3;ADJ
colecta;colect;1,5;1,25;2,5;1,35;1,5;PROPN
colectividad;colect;1,1;1,4;3,25;1,5;1,6;NOUN
colectivo;colect;1,3;1,45;3,05;1,55;1,1;NOUN
colega;coleg;1,1;1,2;3,95;1,1;1,15;VERB
colegiado;colegi;1,35;1,05;2,1;1,15;1,25;NOUN
colegial;colegial;1,1;1,15;2,4;1,2;1,35;ADJ
colegiata;colegiat;1,25;1,19;1,47;1,42;1,58;NOUN
colegio;colegi;1,8;1,3;2,3;1,35;1,6;NOUN
cólera;coler;2,57;2,5;1;3,97;2,2;PROPN
colesterol;colesterol;2,4;2,35;1,1;2,4;2,65;NOUN
colgador;colgador;1,2;1,15;1,6;1,26;1,11;NOUN
colgante;colgant;1,25;1,15;2,95;1,05;1,05;ADJ
colgar;colg;1,85;1,85;1,85;1,65;1,45;VERB
colibrí;colibr;1,1;1,2;2,83;1,13;1,33;PROPN
cólico;colic;2,68;2,53;1;3;3,37;ADJ
colina;colin;1,25;1,4;2,2;1,45;1,1;PROPN
colindante;colind;1,19;1,39;1,47;1,12;1;ADV
colindar;colind;1,25;1,53;1,72;1,06;1,43;VERB
coliseo;colise;1,4;1,35;2,4;1,35;1;PROPN
colisión;colision;2,8;3,45;1,4;2,8;2;NOUN
collado;coll;1,06;1,36;1,5;1,12;1,23;NOUN
collar;coll;1,17;1,07;2,93;1;1,03;VERB
colmar;colm;1,95;1,7;1,79;1,75;1,05;VERB
colmena;colmen;1,58;2,8;1,25;2,05;2,4;VERB
colmo;colm;1,75;1,53;1,45;2,25;1,5;PROPN
colocación;coloc;1,3;1,05;1,55;1,85;1,35;NOUN
colocar;coloc;1,45;1,15;2,15;1;1,4;VERB
colofón;colofon;1,4;1,83;1,93;1,21;1,38;PROPN
colombiano;colombian;1,15;1,55;2,15;1,3;1,2;ADJ
colon;colon;1,85;2,1;1,3;1,3;2,6;PROPN
colonia;coloni;1,43;1,2;3,37;1,23;1,7;NOUN
colonial;colonial;1,7;1,55;1,45;1,6;1,45;ADJ
colonialismo;colonial;2,5;1,85;1,65;2,85;1,89;NOUN
colonización;coloniz;2,8;2,7;1,85;2,6;2,15;NOUN
colonizar;coloniz;2,2;2,5;1,6;1,95;2,35;VERB
colono;colon;1,75;1,72;1,59;1,79;1,53;NOUN
coloquial;coloquial;1,45;1,3;2,74;1,15;1,3;ADJ
coloquio;coloqui;1,16;1;2,22;1,68;1,12;PROPN
color;color;1,63;1,27;3,63;1,27;1,3;NOUN
coloración;color;1,05;1,05;2,05;1,2;1,45;NOUN
colorado;color;1,23;1,33;2,4;2,2;1,13;PROPN
colorante;color;1,15;1,35;1,95;1,6;1,55;ADJ
colores;color;1,4;1;3,55;1,05;1,05;NOUN
colorido;color;1,2;1;3,6;1;1;ADJ
colorín;colorin;1,15;1;2,79;1;1,05;VERB
colosal;colosal;1,22;1,44;2,95;1,29;1,05;NOUN
coloso;colos;1,29;1,33;1,94;1,58;1,31;NOUN
columna;column;1,1;1,37;1,17;1,2;1,07;NOUN
columnas;column;1,25;1,2;2;1,5;1,15;NOUN
columnista;column;1,4;1,21;2,05;1,42;1,1;NOUN
columpio;columpi;1,13;1,43;3,87;1,07;1,07;NOUN
coma;com;2,13;2;1,17;1,5;1,07;NOUN
comadre;comadr;1,18;1,29;1,63;1,31;1,5;NOUN
comadreja;comadrej;1,27;1,87;1,93;1,2;1,77;VERB
comadrona;comadron;1,45;2,1;2,83;1,45;1,72;NOUN
comandancia;comand;1,55;2,1;1,58;2,25;1,44;NOUN
comandante;comand;1,1;1,75;1,85;1,65;1,45;NOUN
comandar;comand;1,15;1,3;1,94;1,68;1,35;VERB
comando;com;1,85;1,8;1,7;1,6;1,85;NOUN
comarca;comarc;1,2;1,2;1,85;1;1,15;PROPN
comarcal;comarcal;1,05;1,05;1,6;1,3;1,1;ADJ
comas;com;1,05;1,25;1,47;1,2;1;NOUN
comba;comb;1;1,2;2,7;1,1;1,11;NOUN
combate;combat;2,25;3,1;1,7;2,35;2,05;NOUN
combatiente;combatient;2,74;2,6;1,47;2,55;2,05;NOUN
combatir;combat;2,55;2,95;1,75;2,6;1,95;VERB
combativo;combat;2,25;1,89;1,53;2,63;2,05;ADJ
combinación;combin;1,4;1,6;1,97;1,4;1,47;NOUN
combinado;combin;1,05;1,1;1,9;1,15;1,1;ADJ
combinar;combin;1,05;1,1;2;1,15;1,25;VERB
combustible;combust;1,35;1,75;1,45;2,05;2,1;ADJ
combustión;combustion;1,95;2,65;1,7;2,2;1,8;NOUN
comedia;comedi;1,13;1;4,43;1,07;1,07;PROPN
comediante;comedi;1,1;1,1;2,9;1,3;1,15;ADV
comedor;comedor;1,27;1,17;2,73;1,1;1,33;ADJ
comendador;comend;1,12;1,53;1,5;1,61;1,63;NOUN
comentar;coment;1,35;1,35;2,1;1,25;1,35;VERB
comentario;comentari;2,13;2;2,47;2,1;1,8;NOUN
comentarista;comentar;1,1;1,1;2,3;1,7;1,55;NOUN
comenzar;comenz;1,73;2,37;3,1;1,2;1,23;VERB
comer;com;1,2;1,23;3,73;1,17;1,33;VERB
comercial;comercial;1,5;1,05;2,5;1,6;1,55;ADJ
comercialización;comercializ;1,55;1,25;1,85;1,65;1,85;NOUN
comercializar;comercializ;1,25;1,25;2,15;1,3;1,35;VERB
comerciante;comerci;1,2;1,3;1,6;1,55;1,3;ADV
comerciar;comerci;1,25;1,3;1,8;1,6;1,35;VERB
comercio;comerci;1,37;1,53;2,13;1,4;1,3;NOUN
comestible;comest;1,05;1,05;3,55;1,15;1,1;ADJ
cometa;comet;1,3;1,47;3,43;1,1;1,03;PROPN
cometer;comet;2,2;2,2;1,45;1,4;1,4;VERB
cometido;comet;1,35;1,2;1,83;1,7;1,47;ADJ
cómic;comic;1,25;1,25;2,8;1,05;1,1;NOUN
comicidad;comic;1;1,17;3,14;1;1;NOUN
cómico;comic;1,03;1,1;4,2;1;1,03;ADJ
comida;com;1,2;1,2;3,23;1,13;1,4;NOUN
comienzo;comienz;1,3;1,55;3,35;1,47;1,05;NOUN
comillas;comill;1,1;1,15;1,85;1,25;1,05;PROPN
comino;comin;1,56;1;1,37;1,25;1,71;PROPN
comisaria;comisari;1,6;2,15;1,3;2,3;1,95;NOUN
comisaría;comis;2,3;2,4;1,2;2,05;2,1;VERB
comisario;comisari;1,5;1,95;1,85;1,75;1,85;NOUN
comisión;comision;2,15;1,85;1,95;2,05;1,95;NOUN
comité;comit;1,4;1,35;2;1,35;1,65;PROPN
comitiva;comit;1,05;1,18;2,16;1,32;1,83;NOUN
cómo;com;1,2;1,1;1,75;1,05;1,15;PRON
cómoda;comod;1,35;1,25;3,55;1,05;1;ADJ
comodidad;comod;1,23;1,13;4,1;1,03;1,17;NOUN
comodín;comodin;1,37;1;3,1;1,15;1,2;ADJ
cómodo;comod;1,13;1,07;3,73;1,1;1,1;ADJ
compacta;compact;1,2;1,4;1,8;1,05;1,2;ADJ
compacto;compact;1,15;1,2;1,8;1;1,2;NOUN
compadecer;compadec;3,4;1,8;1,5;1,8;1,43;VERB
compadre;compadr;1,11;1;2,58;1,25;1,35;NOUN
compaginar;compagin;1,2;1,7;2,7;1,25;1,16;VERB
compaña;compañ;1;1,27;1,4;1,27;1,43;PROPN
compañero;compañer;1,7;1,4;4;1,43;1,17;NOUN
compañía;compañ;1,2;1,15;3,3;1,05;1,05;NOUN
compañía;compañ;1,37;1,67;3,93;1,17;1,37;NOUN
comparable;compar;1,5;1,35;1,35;1,45;1,45;ADJ
comparación;compar;2,6;1,9;1,6;2,4;1,85;NOUN
comparar;compar;2,2;2,05;1,85;2,45;1,7;VERB
comparativo;compar;1,9;1,25;1,15;2,4;1,85;ADJ
comparecencia;comparecent;1,68;1,63;1,89;1,42;1,32;NOUN
comparecer;comparec;1,9;1,95;1,84;2,05;1,7;VERB
comparsa;compars;1,16;1,12;3,33;1,33;1,16;PROPN
compartimento;compartiment;2;1,3;2,11;1,55;1,5;NOUN
compartimiento;compart;1,35;1,5;2,11;1,35;1,3;NOUN
compartir;compart;1,17;1,43;4,23;1,2;1,23;VERB
compás;compas;1,1;1,45;1,9;1,45;1,4;NOUN
compasión;compasion;2,8;1,23;1,97;1,57;1,2;NOUN
compasivo;compas;2;1,47;3,33;1,3;1,13;ADJ
compatibilidad;compatibil;1,1;1,65;3;1,3;1,35;NOUN
compatible;compat;1,25;1,3;3,4;1;1,1;ADJ
compatriota;compatriot;1,7;1,75;2,05;1,15;1,35;NOUN
compendio;compendi;1,5;1,21;2,09;1,1;1,31;NOUN
compensación;compens;1,5;1,3;2,95;1,3;1,05;NOUN
compensar;compens;1,15;1,8;3,25;1,2;1,25;VERB
compensatoria;compensatori;1,37;1,35;2,25;1,2;1,3;NOUN
competencia;competent;1,8;2,25;2,8;2,45;1,65;NOUN
competencial;competencial;1,65;1,4;1,58;1,5;1,32;ADJ
competente;competent;1,23;1,74;3,71;1,39;1,35;ADJ
competer;compet;1,36;1,31;1,71;1,6;1,06;VERB
competición;competicion;1,55;1,7;3,05;2,35;1,8;NOUN
competidor;competidor;1,6;1,65;2;2,25;1,85;NOUN
competir;compet;1,9;2,4;2,2;2,4;1,8;VERB
competitiva;competit;2,1;1,8;2,3;2,45;2,5;ADJ
competitividad;competit;1,85;1,95;2,2;2,35;1,7;NOUN
competitivo;competit;1,9;2,07;2,27;2,3;1,67;ADJ
compilación;compil;1,47;1,29;1,5;1,62;1,08;NOUN
compilador;compil;1;1,25;1,63;1,42;1,08;NOUN
complacencia;complacent;1,5;1,3;3,15;1,5;1,94;NOUN
complacer;complac;1,27;1,4;3,6;1,3;1,27;VERB
complacido;complac;1,13;1,3;3,83;1,17;1,2;ADJ
complaciente;complacient;1,3;1,4;2,75;1,7;1,5;ADV
compleja;complej;1,65;2,05;1,65;1,95;1,7;ADJ
complejidad;complej;1,85;2,1;1,7;1,85;1,65;NOUN
complejo;complej;2,57;2,63;1,43;2,2;2,17;ADJ
complementar;complement;1,1;1,3;2,55;1,1;1,25;VERB
complementaria;complementari;1,3;1,3;2,35;1,35;1,3;PROPN
complementariedad;complementaried;1,16;1,15;2,4;1,2;1,2;NOUN
complemento;complement;1,05;1,1;2,65;1,1;1,15;NOUN
completar;complet;1,05;1,2;3,25;1,2;1,05;VERB
completo;complet;1,25;1;2,85;1,6;1,2;ADJ
complexión;complexion;1,2;1,39;2;1,42;1,53;NOUN
complicación;complic;2,93;3,43;1,57;2,83;1,87;NOUN
complicar;complic;2,85;2,3;1,25;3,1;1,95;VERB
cómplice;complic;1,68;2,25;1,95;2;1,85;NOUN
complicidad;complic;1,45;1,25;3,75;1,8;1,1;NOUN
complot;complot;2,75;2,84;1,1;3,3;2,16;NOUN
componente;component;1;1,2;2;1;1,1;NOUN
componer;compon;1,1;1,2;2,9;1,1;1,25;VERB
comportamiento;comport;1,7;1,85;1,8;1,35;1,37;NOUN
comportar;comport;1,45;1,25;2,4;1,47;1,4;VERB
composición;composicion;1,2;1;2,35;1,15;1,35;NOUN
compositor;compositor;1,37;1,23;3,27;1,27;1,2;NOUN
compositora;compositor;1,27;1,33;3,3;1,27;1,07;NOUN
compostura;compostur;1,55;1,35;2,6;1,55;1,25;NOUN
compra;compr;1,4;1,25;2,75;1,3;1,4;NOUN
comprador;comprador;1,2;1,6;2,5;1,35;1,5;NOUN
comprar;compr;1,4;1,15;3,35;1,15;1;VERB
compraventa;compravent;1,45;1,4;1,85;1,35;1,6;PROPN
comprender;comprend;1,05;1,05;3,5;1;1,1;VERB
comprensible;comprens;1,4;1,15;3,4;1,05;1,15;ADJ
comprensión;comprension;1,77;1,7;3,83;1,17;1,1;NOUN
comprensivo;comprens;1,15;1;3,75;1;1,05;ADJ
compresor;compresor;1,3;1,4;1,32;1,7;1,4;PROPN
comprobación;comprob;1,1;1,3;1,8;1,25;1,25;NOUN
comprobar;comprob;1,2;1,3;2,05;1,15;1,1;VERB
comprometer;compromet;1,35;1,65;2,45;1,8;1,65;VERB
comprometido;compromet;1,33;1,93;2,73;1,27;1,1;ADJ
compromiso;compromis;1,7;2,57;2,73;1,53;1,43;NOUN
compuerta;compuert;1,25;1,2;1,5;1,15;1,1;NOUN
compuesto;compuest;1,2;1,2;2;1,2;1,25;ADJ
computación;comput;1,26;1,22;1,33;1,15;1,33;NOUN
computacional;computacional;1,13;1,16;1,65;1,29;1,5;ADJ
computador;comput;1;1,1;1,95;1,3;1,3;NOUN
computadora;comput;1,2;1,05;2,63;1,3;1,15;ADJ
cómputo;comput;1;1,43;1,72;1,38;1,2;NOUN
común;comun;1,4;1,2;2,25;1,3;1,3;ADJ
comuna;comun;1,72;1,42;1,47;1,35;1,68;NOUN
comunal;comunal;1,26;1,25;1,85;1,47;1,47;ADJ
comunicación;comun;1,2;1,63;3,5;1,2;1,17;NOUN
comunicado;comunic;1,75;1,65;2,35;1,55;1,3;NOUN
comunicar;comunic;1,15;1,1;2,85;1,05;1,1;VERB
comunicativa;comunic;1,1;1,05;2,65;1,15;1,15;ADJ
comunicativo;comunic;1,13;1,3;3,4;1,17;1,07;ADJ
comunidad;comun;1,17;1,47;2,37;1,23;1,1;NOUN
comunión;comunion;1,35;1,05;2,5;1,05;1,9;NOUN
comunismo;comun;2,2;2;1,65;2,2;2,05;NOUN
comunista;comun;1,95;1,65;1,5;1,8;1,6;ADJ
comunitario;comunitari;1,05;1,25;2,4;1,7;2;ADJ
concebible;conceb;1,17;1,21;2,5;1,3;1,2;ADJ
concebir;conceb;1,2;1,65;3,15;1,1;1,4;VERB
conceder;conced;1,15;1,5;2,05;1,25;1,15;VERB
concejal;concejal;1,85;1,5;1,4;2,25;2,5;NOUN
concejo;concej;1,81;1,18;1,75;1,67;1,64;PROPN
concentración;concentr;1,35;1,45;2,35;1,5;1,15;NOUN
concentrado;concentr;1,37;1,4;2,1;1,4;1,27;ADJ
concentrar;concentr;1,5;1,4;1,75;1,25;1,2;VERB
concepción;concepcion;1,21;1,45;2,8;1,25;1,25;PROPN
concepto;concept;1;1,25;1,7;1,15;1,15;NOUN
conceptual;conceptual;1,05;1;1,26;1,2;1,1;PROPN
concerniente;concernient;1,39;1,21;1,58;1,17;1,24;ADV
concernir;concern;1,2;1,11;1,56;1,13;1,21;VERB
concertación;concert;1,15;1,26;1,84;1,28;1,32;NOUN
concertar;concert;1,2;1,3;2,11;1,15;1,2;VERB
concesión;concesion;1,2;1,18;2,45;1,26;1,58;NOUN
concesionaria;concesionari;1,32;1,2;1,47;1,13;1,94;NOUN
concesionario;concesionari;1,37;1,53;2,23;1,33;1,37;NOUN
concha;conch;1,15;1,1;2,5;1,05;1,35;NOUN
conciencia;concienci;2,17;2,03;3;1,87;1,73;NOUN
concienciación;concienci;1,35;1,4;3,15;1,3;1,2;NOUN
concienciar;concienci;1,35;1,55;3,2;1,2;1,1;VERB
concierto;conciert;1,1;1,05;4,4;1,15;1,05;NOUN
conciliación;concili;1,45;1,2;3,85;1,15;1;NOUN
conciliador;concili;1,05;1,15;3,6;1,2;1,28;NOUN
conciliar;concili;1,16;1,2;2,5;1,5;1,21;VERB
concilio;concili;1,42;1,17;2,32;1,32;1,11;NOUN
concisa;concis;1,26;1,3;2,16;1,11;1,35;NOUN
cónclave;conclav;2;1,56;1,22;1,35;2;NOUN
concluir;conclu;2,05;1,55;2,05;1,5;1,2;VERB
conclusión;conclusion;1,5;1,35;2,65;1,15;1,15;NOUN
concluyente;concluyent;1,4;1,35;1,7;1,3;1,1;ADJ
concordancia;concord;1,05;1,05;2,3;1,3;1,1;NOUN
concordar;concord;1,05;1,2;2,68;1,3;1,15;VERB
concordia;concordi;1,33;1,05;2,35;1,63;1,39;VERB
concreción;concrecion;1,06;1,26;1,55;1,73;1,12;NOUN
concretar;concret;1,15;1,45;2,55;1,3;1,2;VERB
concreto;concret;1,2;1,1;2,15;1,25;1,2;ADJ
concuñada;concuñ;1;1,06;2,37;1,33;1,41;ADJ
concuñado;concuñ;1,11;1,33;2,18;1,24;1,18;ADJ
concurrencia;concurrent;1,4;1,5;1,68;1,6;1,2;PROPN
concurrir;concurr;1,2;1,26;1,37;1,45;1,32;VERB
concursante;concurs;1;1;2,75;1,2;1,4;ADJ
concurso;concurs;1,43;2,63;3,6;1,53;1,2;NOUN
condado;cond;1,26;1,21;1,8;1,25;1,1;ADJ
conde;cond;1,5;1,5;1,47;1,93;2,07;PROPN
condecoración;condecor;1,3;1,06;3,6;1,17;1,44;NOUN
condena;conden;3,8;3,6;1,17;3,1;2,2;NOUN
condenación;conden;3,16;3,16;1,2;3,35;2,1;NOUN
condenado;conden;3,03;2,93;1,27;2,37;1,67;ADJ
condenar;conden;3,05;2,9;1,25;3,1;2,15;VERB
condensación;condens;1,2;1,1;1,5;1,35;1,7;NOUN
condesa;condes;1,57;1,32;1,64;1,89;1,86;NOUN
condescendencia;condescendent;2,16;1,56;1,56;2,15;1,61;NOUN
condescendiente;condescendient;1,93;1,4;1,39;2,25;1,47;ADV
condición;condicion;2,1;2,47;1,47;1,9;1,8;NOUN
condicional;condicional;1,65;1,25;1,35;2;1,15;ADJ
condicionalidad;condicional;2,1;2,16;1,55;1,85;1,65;NOUN
condicionamiento;condicion;2,2;2,05;1,35;1,65;1,45;NOUN
condicionar;condicion;2,6;1,95;1,5;3;1,95;VERB
condolencia;condolent;3,79;2,45;1,05;2;1,16;NOUN
condón;condon;1,27;2,3;2,67;1,27;1,87;NOUN
condonación;condon;1,07;1,17;1,92;1,9;1,71;NOUN
cóndor;condor;1,06;1,92;1,79;1,09;1,29;PROPN
conducción;conduccion;1,4;1,7;2,75;1,6;1,15;NOUN
conducir;conduc;1,1;1,7;3,75;1,65;1,3;VERB
conducta;conduct;1,35;1,45;2,05;1,85;1,2;NOUN
conductividad;conduct;1,35;1,5;1,9;1,5;1,3;NOUN
conducto;conduct;1,48;2,07;1,79;1,48;1,86;NOUN
conductor;conductor;1,1;1,67;2,5;1,37;1,13;NOUN
conectar;conect;1;1,05;2,6;1,15;1,2;VERB
conectividad;conect;1,7;1,35;3,26;1,3;1,1;NOUN
conectivo;conect;1,2;1,33;2;1,1;1,22;ADJ
conejera;conejer;1,21;1,22;2,37;1,45;2;VERB
conejito;conejit;1,23;1,13;3,47;1,07;1,03;NOUN
conejo;conej;1,1;1,3;3,53;1,1;1,3;PROPN
conexión;conexion;1,35;1,35;2,8;1,2;1,05;NOUN
confección;confeccion;1,32;1;1,67;1,16;1,16;NOUN
confeccionar;confeccion;1,1;1,1;2,3;1,4;1,65;VERB
confederación;confeder;1,25;1,11;1,45;1,4;1,3;PROPN
conferencia;conferent;1,3;1,53;2,03;1,33;1,47;PROPN
conferir;confer;1,26;1,2;2,07;1,39;1,33;VERB
confesar;confes;1,65;2,05;2,5;1,8;1,4;VERB
confesión;confesion;2,1;2,05;1,7;1,7;1,45;NOUN
confesional;confesional;1,45;1,5;1,3;1,5;2;ADJ
confesionario;confesionari;2,05;1,85;1,75;2,2;1,6;NOUN
confesor;confesor;1,47;1,5;1,58;1,83;1,5;NOUN
confiabilidad;confiabil;1,11;1,35;3;1,35;1,3;NOUN
confiable;confiabl;1,2;1,5;4,15;1,2;1,15;ADJ
confianza;confianz;1,2;1,63;4,23;1,27;1,33;NOUN
confiar;confi;1,8;1,8;3,55;1,3;1,3;VERB
confidencia;confident;1,4;1,68;2,2;1,4;1,35;NOUN
confidencial;confidencial;1,25;2,05;1,9;1,75;1,4;ADJ
confidencialidad;confidencial;1,3;1,7;2,7;1,6;1,35;NOUN
confidente;confident;1,2;1,77;3;1,17;1,2;ADV
configuración;configur;1,1;1,25;1,8;1,5;1,35;NOUN
configurar;configur;1,05;1,1;1,95;1,85;1,25;VERB
confín;confin;1,58;1,28;1,77;1,33;1,56;PROPN
confinamiento;confin;2,61;2,13;1,38;1,93;1,72;NOUN
confirmación;confirm;1,35;1,2;2,65;1,2;1,3;NOUN
confirmando;confirm;1,15;1,15;2,75;1,15;1,15;VERB
confirmar;confirm;1,35;1,45;2,95;1,4;1,25;VERB
confiscación;confisc;2,8;2,79;1,26;2,79;1,7;NOUN
conflictiva;conflict;2,75;3,15;1,11;2,9;2,1;ADJ
conflictividad;conflict;3,6;3,05;1,45;3,8;2,45;NOUN
conflicto;conflict;3,57;3,57;1,17;4;2,33;NOUN
confluencia;confluenci;1,21;1,39;1,84;1,4;1,25;NOUN
conformación;conform;2,11;1,9;1,7;1,79;1,5;NOUN
conformar;conform;1,7;1,4;1,45;1,9;1,5;VERB
conforme;conform;1,6;1,1;2,05;1,4;1,3;NOUN
conformidad;conform;2,25;2,1;1,75;2,3;2,2;NOUN
confort;confort;1,1;1,13;4,43;1,1;1,03;VERB
confortable;confort;1;1;3,95;1,25;1;ADJ
confrontación;confront;2,35;2,8;1,45;2,85;1,63;NOUN
confrontar;confront;2,21;2,05;1,85;2,63;1,65;VERB
confundido;confund;2,37;2,43;1,17;1,73;1,2;ADJ
confundir;confund;1,9;1,95;1,45;2,15;1,4;VERB
confusión;confusion;2,3;2,65;1,26;2,85;2,15;NOUN
confuso;confus;2,6;2,43;1,17;2,3;1,6;ADJ
congelación;congel;2,05;2,4;1,55;1,75;1,5;NOUN
congelado;congel;1,83;2,17;1,33;1,23;1,5;ADJ
congelar;congel;2,3;1,85;1,75;1,4;1,15;ADJ
congénita;congenit;1,95;2,74;1,26;1,68;1,78;ADJ
congestión;congestion;2,25;1,9;1,35;2,35;2,9;NOUN
